Année,Juridiction,Valeur (1 000 dollars),Secteur
2016,Colombie-Britannique,728219,Exploitation forestière
2016,Colombie-Britannique,589908,Fabrication du papier
2016,Colombie-Britannique,1560756,Fabrication de produits en bois
2016,Manitoba,9922,Exploitation forestière
2016,Manitoba,0,Fabrication du papier
2016,Manitoba,116733,Fabrication de produits en bois
2016,Nouveau-Brunswick,104610,Exploitation forestière
2016,Nouveau-Brunswick,236792,Fabrication du papier
2016,Nouveau-Brunswick,0,Fabrication de produits en bois
2016,Terre-Neuve-et-Labrador,23356,Exploitation forestière
2016,Terre-Neuve-et-Labrador,0,Fabrication du papier
2016,Terre-Neuve-et-Labrador,0,Fabrication de produits en bois
2016,Territoires du Nord-Ouest,15,Exploitation forestière
2016,Territoires du Nord-Ouest,0,Fabrication du papier
2016,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2016,Nouvelle-Écosse,30150,Exploitation forestière
2016,Nouvelle-Écosse,0,Fabrication du papier
2016,Nouvelle-Écosse,0,Fabrication de produits en bois
2016,Nunavut,0,Exploitation forestière
2016,Nunavut,0,Fabrication du papier
2016,Nunavut,0,Fabrication de produits en bois
2016,Ontario,175518,Exploitation forestière
2016,Ontario,1177512,Fabrication du papier
2016,Ontario,880700,Fabrication de produits en bois
2016,Île-du-Prince-Édouard,1895,Exploitation forestière
2016,Île-du-Prince-Édouard,0,Fabrication du papier
2016,Île-du-Prince-Édouard,0,Fabrication de produits en bois
2016,Québec,290321,Exploitation forestière
2016,Québec,1013079,Fabrication du papier
2016,Québec,1267841,Fabrication de produits en bois
2016,Saskatchewan,22007,Exploitation forestière
2016,Saskatchewan,0,Fabrication du papier
2016,Saskatchewan,92194,Fabrication de produits en bois
2016,Yukon,171,Exploitation forestière
2016,Yukon,0,Fabrication du papier
2016,Yukon,0,Fabrication de produits en bois
2017,Canada,1666370,Exploitation forestière
2017,Canada,3579361,Fabrication du papier
2017,Canada,5071847,Fabrication de produits en bois
2017,Alberta,183987,Exploitation forestière
2017,Alberta,239252,Fabrication du papier
2017,Alberta,619343,Fabrication de produits en bois
2017,Colombie-Britannique,794641,Exploitation forestière
2017,Colombie-Britannique,610118,Fabrication du papier
2017,Colombie-Britannique,1637077,Fabrication de produits en bois
2017,Manitoba,11407,Exploitation forestière
2017,Manitoba,0,Fabrication du papier
2017,Manitoba,109173,Fabrication de produits en bois
2017,Nouveau-Brunswick,101489,Exploitation forestière
2017,Nouveau-Brunswick,236791,Fabrication du papier
2017,Nouveau-Brunswick,0,Fabrication de produits en bois
2017,Terre-Neuve-et-Labrador,11144,Exploitation forestière
2017,Terre-Neuve-et-Labrador,0,Fabrication du papier
