Année,Juridiction,Origine,Superficie (en hectare),Nombre
2009,Nouveau-Brunswick,Foudre,0,2
2009,Nouveau-Brunswick,Indéterminée,20,13
2010,Nouveau-Brunswick,Activité humaine,131,143
2010,Nouveau-Brunswick,Foudre,11,9
2010,Nouveau-Brunswick,Indéterminée,15,27
2011,Nouveau-Brunswick,Activité humaine,33,55
2011,Nouveau-Brunswick,Foudre,2,4
2011,Nouveau-Brunswick,Indéterminée,2,8
2012,Nouveau-Brunswick,Activité humaine,288,277
2012,Nouveau-Brunswick,Foudre,1,6
2012,Nouveau-Brunswick,Indéterminée,72,55
2013,Nouveau-Brunswick,Activité humaine,846,315
2013,Nouveau-Brunswick,Foudre,0,2
2013,Nouveau-Brunswick,Indéterminée,34,36
2014,Nouveau-Brunswick,Activité humaine,101,154
2014,Nouveau-Brunswick,Foudre,1,4
2014,Nouveau-Brunswick,Indéterminée,11,22
2015,Nouveau-Brunswick,Activité humaine,198,186
2015,Nouveau-Brunswick,Foudre,46,8
2015,Nouveau-Brunswick,Indéterminée,19,28
2016,Nouveau-Brunswick,Activité humaine,199,238
2016,Nouveau-Brunswick,Foudre,22,13
2016,Nouveau-Brunswick,Indéterminée,44,34
2017,Nouveau-Brunswick,Activité humaine,530,182
2017,Nouveau-Brunswick,Foudre,20,29
2017,Nouveau-Brunswick,Indéterminée,18,34
2018,Nouveau-Brunswick,Activité humaine,250,229
2018,Nouveau-Brunswick,Foudre,17,19
2018,Nouveau-Brunswick,Indéterminée,44,37
2019,Nouveau-Brunswick,Activité humaine,184,152
2019,Nouveau-Brunswick,Foudre,14,14
2019,Nouveau-Brunswick,Indéterminée,30,17
2020,Nouveau-Brunswick,Activité humaine,1224,386
2020,Nouveau-Brunswick,Foudre,51,28
2020,Nouveau-Brunswick,Indéterminée,115,52
2021,Nouveau-Brunswick,Activité humaine,332,148
2021,Nouveau-Brunswick,Foudre,30,8
2021,Nouveau-Brunswick,Indéterminée,18,23
2022,Nouveau-Brunswick,Activité humaine,144,176
2022,Nouveau-Brunswick,Cause naturelle,2,5
2022,Nouveau-Brunswick,Indéterminée,30,33
2023,Nouveau-Brunswick,Indéterminée,854,202
2000,Terre-Neuve-et-Labrador,Activité humaine,232,124
2000,Terre-Neuve-et-Labrador,Foudre,103304,25
2001,Terre-Neuve-et-Labrador,Activité humaine,325,166
2001,Terre-Neuve-et-Labrador,Foudre,641,16
2002,Terre-Neuve-et-Labrador,Activité humaine,385,86
2002,Terre-Neuve-et-Labrador,Foudre,14525,14
2003,Terre-Neuve-et-Labrador,Activité humaine,683,125
2003,Terre-Neuve-et-Labrador,Foudre,27028,15
2004,Terre-Neuve-et-Labrador,Activité humaine,1225,123
2004,Terre-Neuve-et-Labrador,Foudre,932,2
2005,Terre-Neuve-et-Labrador,Activité humaine,187,115
2005,Terre-Neuve-et-Labrador,Foudre,18061,6
2006,Terre-Neuve-et-Labrador,Activité humaine,154,61
2006,Terre-Neuve-et-Labrador,Foudre,3312,5
2007,Terre-Neuve-et-Labrador,Activité humaine,324,59
2007,Terre-Neuve-et-Labrador,Foudre,11026,6
2007,Terre-Neuve-et-Labrador,Indéterminée,0,1
2008,Terre-Neuve-et-Labrador,Activité humaine,98,70
2008,Terre-Neuve-et-Labrador,Foudre,2,2
2008,Terre-Neuve-et-Labrador,Brûlage dirigé,29,1
2009,Terre-Neuve-et-Labrador,Activité humaine,393,148
2009,Terre-Neuve-et-Labrador,Foudre,16264,2
2009,Terre-Neuve-et-Labrador,Brûlage dirigé,15,1
2010,Terre-Neuve-et-Labrador,Activité humaine,39,42
2010,Terre-Neuve-et-Labrador,Foudre,957,4
2011,Terre-Neuve-et-Labrador,Activité humaine,39,35
2011,Terre-Neuve-et-Labrador,Indéterminée,387,7
2012,Terre-Neuve-et-Labrador,Activité humaine,1672,109
2012,Terre-Neuve-et-Labrador,Foudre,109,2
2012,Terre-Neuve-et-Labrador,Indéterminée,27502,27
2013,Terre-Neuve-et-Labrador,Activité humaine,27669,70
2013,Terre-Neuve-et-Labrador,Foudre,2475,1
2014,Terre-Neuve-et-Labrador,Brûlage dirigé,4,1
2014,Terre-Neuve-et-Labrador,Indéterminée,8832,1
2015,Terre-Neuve-et-Labrador,Activité humaine,10,6
2015,Terre-Neuve-et-Labrador,Foudre,3580,19
2015,Terre-Neuve-et-Labrador,Brûlage dirigé,82,2
2016,Terre-Neuve-et-Labrador,Activité humaine,0,4
2016,Terre-Neuve-et-Labrador,Foudre,10603,13
2016,Terre-Neuve-et-Labrador,Brûlage dirigé,134,1
2017,Terre-Neuve-et-Labrador,Activité humaine,62,78
2017,Terre-Neuve-et-Labrador,Foudre,638,3
2017,Terre-Neuve-et-Labrador,Indéterminée,0,1
2018,Terre-Neuve-et-Labrador,Activité humaine,355,127
2018,Terre-Neuve-et-Labrador,Foudre,40,4
2018,Terre-Neuve-et-Labrador,Indéterminée,0,1
2019,Terre-Neuve-et-Labrador,Activité humaine,107,89
2019,Terre-Neuve-et-Labrador,Foudre,209,10
2020,Terre-Neuve-et-Labrador,Activité humaine,148,72
2020,Terre-Neuve-et-Labrador,Foudre,4185,24
2020,Terre-Neuve-et-Labrador,Indéterminée,1,1
2021,Terre-Neuve-et-Labrador,Activité humaine,244,85
2021,Terre-Neuve-et-Labrador,Foudre,99,4
2022,Terre-Neuve-et-Labrador,Activité humaine,0,20
2022,Terre-Neuve-et-Labrador,Cause naturelle,0,1
2022,Terre-Neuve-et-Labrador,Indéterminée,23890,102
2023,Terre-Neuve-et-Labrador,Indéterminée,21913,101
2000,Territoires du Nord-Ouest,Activité humaine,21,19
2000,Territoires du Nord-Ouest,Foudre,177796,252
2000,Territoires du Nord-Ouest,Brûlage dirigé,18,1
2000,Territoires du Nord-Ouest,Indéterminée,1,3
2001,Territoires du Nord-Ouest,Activité humaine,5,21
2001,Territoires du Nord-Ouest,Foudre,116756,107
2002,Territoires du Nord-Ouest,Activité humaine,18,12
2002,Territoires du Nord-Ouest,Foudre,27068,70
2002,Territoires du Nord-Ouest,Indéterminée,4,3
2003,Territoires du Nord-Ouest,Activité humaine,9,12
2003,Territoires du Nord-Ouest,Foudre,127812,148
2004,Territoires du Nord-Ouest,Activité humaine,7638,35
2004,Territoires du Nord-Ouest,Foudre,501430,254
2004,Territoires du Nord-Ouest,Indéterminée,8288,10
2005,Territoires du Nord-Ouest,Activité humaine,9,16
2005,Territoires du Nord-Ouest,Foudre,216865,239
2005,Territoires du Nord-Ouest,Indéterminée,1258,6
2006,Territoires du Nord-Ouest,Activité humaine,69,23
2006,Territoires du Nord-Ouest,Foudre,61312,140
2006,Territoires du Nord-Ouest,Indéterminée,16,4
2007,Territoires du Nord-Ouest,Activité humaine,22183,37
2007,Territoires du Nord-Ouest,Foudre,422924,141
2007,Territoires du Nord-Ouest,Indéterminée,22,6
2008,Territoires du Nord-Ouest,Activité humaine,20,21
2008,Territoires du Nord-Ouest,Foudre,308546,214
2008,Territoires du Nord-Ouest,Indéterminée,223,5
2009,Territoires du Nord-Ouest,Activité humaine,23,15
2009,Territoires du Nord-Ouest,Foudre,10314,44
2009,Territoires du Nord-Ouest,Indéterminée,0,1
2010,Territoires du Nord-Ouest,Activité humaine,153,19
2010,Territoires du Nord-Ouest,Foudre,350649,201
2010,Territoires du Nord-Ouest,Indéterminée,125,4
2011,Territoires du Nord-Ouest,Activité humaine,151,25
2011,Territoires du Nord-Ouest,Foudre,329462,168
2011,Territoires du Nord-Ouest,Indéterminée,71,8
2012,Territoires du Nord-Ouest,Activité humaine,597,29
2012,Territoires du Nord-Ouest,Foudre,301323,253
2012,Territoires du Nord-Ouest,Indéterminée,2615,7
2013,Territoires du Nord-Ouest,Activité humaine,1188,16
2013,Territoires du Nord-Ouest,Foudre,553871,241
2014,Territoires du Nord-Ouest,Activité humaine,10616,18
2014,Territoires du Nord-Ouest,Foudre,3410696,370
2015,Territoires du Nord-Ouest,Activité humaine,4,16
2015,Territoires du Nord-Ouest,Foudre,722103,241
2016,Territoires du Nord-Ouest,Activité humaine,7819,17
2016,Territoires du Nord-Ouest,Foudre,247705,176
2017,Territoires du Nord-Ouest,Activité humaine,11,19
2017,Territoires du Nord-Ouest,Foudre,1033066,249
2018,Territoires du Nord-Ouest,Activité humaine,170,6
2018,Territoires du Nord-Ouest,Foudre,22007,57
2019,Territoires du Nord-Ouest,Activité humaine,5,20
2019,Territoires du Nord-Ouest,Foudre,105163,126
2019,Territoires du Nord-Ouest,Indéterminée,0,1
2020,Territoires du Nord-Ouest,Activité humaine,371,19
2020,Territoires du Nord-Ouest,Foudre,20768,51
2021,Territoires du Nord-Ouest,Activité humaine,9,17
2021,Territoires du Nord-Ouest,Foudre,197480,133
2021,Territoires du Nord-Ouest,Indéterminée,63,1
2022,Territoires du Nord-Ouest,Activité humaine,59,33
2022,Territoires du Nord-Ouest,Cause naturelle,603950,240
2022,Territoires du Nord-Ouest,Indéterminée,23,1
2023,Territoires du Nord-Ouest,Indéterminée,4163438,304
2000,Nouvelle-Écosse,Activité humaine,301,163
2000,Nouvelle-Écosse,Foudre,2,8
2000,Nouvelle-Écosse,Indéterminée,185,41
2001,Nouvelle-Écosse,Activité humaine,471,425
2001,Nouvelle-Écosse,Foudre,8,16
2001,Nouvelle-Écosse,Indéterminée,50,48
2002,Nouvelle-Écosse,Activité humaine,191,224
2002,Nouvelle-Écosse,Foudre,10,16
