Année,Juridiction,Superficie (en hectare)
2020,Nunavut,0
2020,Ontario,27601260
2020,Île-du-Prince-Édouard,0
2020,Québec,44276589
2020,Saskatchewan,6666270
2020,Yukon,0
2021,Canada,158391456
2021,Alberta,20549817
2021,Colombie-Britannique,40599622
2021,Manitoba,11373530
2021,Nouveau-Brunswick,4245580
2021,Terre-Neuve-et-Labrador,1358643
2021,Territoires du Nord-Ouest,0
2021,Nouvelle-Écosse,1267392
2021,Nunavut,0
2021,Ontario,29149719
2021,Île-du-Prince-Édouard,0
2021,Québec,43174309
2021,Saskatchewan,6672844
2021,Yukon,0
2022,Canada,155266615
2022,Alberta,20471617
2022,Colombie-Britannique,40732576
2022,Manitoba,11373530
2022,Nouveau-Brunswick,4246501
2022,Terre-Neuve-et-Labrador,1358643
2022,Territoires du Nord-Ouest,0
2022,Nouvelle-Écosse,1274764
2022,Nunavut,0
2022,Ontario,27566149
2022,Île-du-Prince-Édouard,0
2022,Québec,42964184
2022,Saskatchewan,5278651
2022,Yukon,0
2023,Canada,160045456
2023,Alberta,22534794
2023,Colombie-Britannique,44367533
2023,Manitoba,10506290
2023,Nouveau-Brunswick,4230501
2023,Terre-Neuve-et-Labrador,1358643
2023,Territoires du Nord-Ouest,0
2023,Nouvelle-Écosse,1253849
2023,Nunavut,0
2023,Ontario,27199391
2023,Île-du-Prince-Édouard,0
2023,Québec,42367471
2023,Saskatchewan,6226984
2023,Yukon,0
2024,Canada,161562595
2024,Alberta,23554786
2024,Colombie-Britannique,42740613
2024,Manitoba,10506290
2024,Nouveau-Brunswick,4215775
2024,Terre-Neuve-et-Labrador,1358643
2024,Territoires du Nord-Ouest,0
2024,Nouvelle-Écosse,1306919
2024,Nunavut,0
2024,Ontario,28973385
2024,Île-du-Prince-Édouard,0
2024,Québec,42666974
2024,Saskatchewan,6329210
2024,Yukon,0
