Année,Juridiction,Superficie (en hectare)
2020,Ontario,4510
2020,Île-du-Prince-Édouard,0
2020,Québec,49.6
2020,Saskatchewan,0
2020,Yukon,0
2021,Canada,8624.7
2021,Alberta,14
2021,Colombie-Britannique,414
2021,Manitoba,0
2021,Nouveau-Brunswick,0
2021,Terre-Neuve-et-Labrador,0
2021,Territoires du Nord-Ouest,0
2021,Nouvelle-Écosse,0
2021,Ontario,8095
2021,Île-du-Prince-Édouard,0
2021,Québec,101.7
2021,Saskatchewan,0
2021,Yukon,0
2022,Canada,10888.205342
2022,Alberta,2253
2022,Colombie-Britannique,32
2022,Manitoba,1121
2022,Nouveau-Brunswick,0
2022,Terre-Neuve-et-Labrador,0
2022,Territoires du Nord-Ouest,0
2022,Nouvelle-Écosse,0
2022,Ontario,7431.805342
2022,Île-du-Prince-Édouard,0
2022,Québec,50.4
2022,Saskatchewan,0
2022,Yukon,0
2023,Canada,7058.1
2023,Alberta,730
2023,Colombie-Britannique,312.1
2023,Manitoba,0
2023,Nouveau-Brunswick,0
2023,Terre-Neuve-et-Labrador,0
2023,Territoires du Nord-Ouest,0
2023,Nouvelle-Écosse,0
2023,Ontario,5965.6
2023,Île-du-Prince-Édouard,0
2023,Québec,50.4
2023,Saskatchewan,0
2023,Yukon,0
