Année,Juridiction,Industrie,Produit,Valeur (1 000 dollars)
2013,Nouvelle-Écosse,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2013,Nunavut,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2013,Nunavut,Fabrication de produits en bois,Scieries et préservation du bois,0
2013,Nunavut,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2013,Nunavut,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2013,Ontario,Fabrication de produits en bois,Fabrication totale de produits du bois,5339373
2013,Ontario,Fabrication de produits en bois,Scieries et préservation du bois,1850034
2013,Ontario,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",1962018
2013,Ontario,Fabrication de produits en bois,Autres fabrications de produits du bois,1527321
2013,Île-du-Prince-Édouard,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2013,Île-du-Prince-Édouard,Fabrication de produits en bois,Scieries et préservation du bois,0
2013,Île-du-Prince-Édouard,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2013,Île-du-Prince-Édouard,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2013,Québec,Fabrication de produits en bois,Fabrication totale de produits du bois,10446866
2013,Québec,Fabrication de produits en bois,Scieries et préservation du bois,5177524
2013,Québec,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",2930800
2013,Québec,Fabrication de produits en bois,Autres fabrications de produits du bois,2338542
2013,Saskatchewan,Fabrication de produits en bois,Fabrication totale de produits du bois,628796
2013,Saskatchewan,Fabrication de produits en bois,Scieries et préservation du bois,0
2013,Saskatchewan,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",628796
2013,Saskatchewan,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2013,Yukon,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2013,Yukon,Fabrication de produits en bois,Scieries et préservation du bois,0
2013,Yukon,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2013,Yukon,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2014,Canada,Fabrication de produits en bois,Fabrication totale de produits du bois,45341714
2014,Canada,Fabrication de produits en bois,Scieries et préservation du bois,27259806
2014,Canada,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",10603724
2014,Canada,Fabrication de produits en bois,Autres fabrications de produits du bois,7478184
2014,Alberta,Fabrication de produits en bois,Fabrication totale de produits du bois,6113789
2014,Alberta,Fabrication de produits en bois,Scieries et préservation du bois,3339762
2014,Alberta,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",1716806
2014,Alberta,Fabrication de produits en bois,Autres fabrications de produits du bois,1057221
2014,Colombie-Britannique,Fabrication de produits en bois,Fabrication totale de produits du bois,18261770
2014,Colombie-Britannique,Fabrication de produits en bois,Scieries et préservation du bois,13475394
2014,Colombie-Britannique,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",2909736
2014,Colombie-Britannique,Fabrication de produits en bois,Autres fabrications de produits du bois,1876640
2014,Manitoba,Fabrication de produits en bois,Fabrication totale de produits du bois,201070
