Année,Juridiction,Superficie (en hectare)
2020,Saskatchewan,5955
2020,Yukon,14
2021,Canada,459791
2021,Alberta,91824
2021,Colombie-Britannique,207163
2021,Manitoba,3797
2021,Nouveau-Brunswick,12384
2021,Terre-Neuve-et-Labrador,2362
2021,Territoires du Nord-Ouest,14
2021,Nouvelle-Écosse,6022
2021,Ontario,59508
2021,Île-du-Prince-Édouard,466
2021,Québec,69322
2021,Saskatchewan,6833
2021,Yukon,95
2022,Canada,415471
2022,Alberta,84742
2022,Colombie-Britannique,184450
2022,Manitoba,0
2022,Nouveau-Brunswick,10778
2022,Terre-Neuve-et-Labrador,3703
2022,Territoires du Nord-Ouest,0
2022,Nouvelle-Écosse,4932
2022,Ontario,51499
2022,Île-du-Prince-Édouard,359
2022,Québec,69109
2022,Saskatchewan,5823
2022,Yukon,76
2023,Canada,407819
2023,Alberta,75887
2023,Colombie-Britannique,187292
2023,Manitoba,3088
2023,Nouveau-Brunswick,10778
2023,Terre-Neuve-et-Labrador,2880
2023,Territoires du Nord-Ouest,0
2023,Nouvelle-Écosse,4535
2023,Ontario,47951
2023,Île-du-Prince-Édouard,401
2023,Québec,69109
2023,Saskatchewan,5823
2023,Yukon,76
