Année,Juridiction,Type de commerce,Groupe de produits de base,Produit,Valeur (en dollars)
2014,Canada,Importations,Produits fabriqués en bois,Grumes,34918130
2014,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,39658537
2014,Canada,Importations,Produits fabriqués en bois,Panneau de particules,74074551
2014,Canada,Importations,Produits fabriqués en bois,Contreplaqué,376524649
2014,Canada,Importations,Produits fabriqués en bois,Bois à pâte,481758
2014,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",263491992
2014,Canada,Importations,Produits fabriqués en bois,Placage,146339614
2015,Canada,Importations,Produits bruts du bois,Grumes,383799433
2015,Canada,Importations,Produits bruts du bois,Bois à pâte,39092331
2015,Canada,Importations,Produits de pâtes et papiers,Papier journal,49168797
2015,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3384249166
2015,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,271720954
2015,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,295065927
2015,Canada,Importations,Produits fabriqués en bois,Grumes,32171814
2015,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,36273065
2015,Canada,Importations,Produits fabriqués en bois,Panneau de particules,84250208
2015,Canada,Importations,Produits fabriqués en bois,Contreplaqué,403544981
2015,Canada,Importations,Produits fabriqués en bois,Bois à pâte,398023
2015,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",262802789
2015,Canada,Importations,Produits fabriqués en bois,Placage,160154576
2016,Canada,Importations,Produits bruts du bois,Grumes,345488395
2016,Canada,Importations,Produits bruts du bois,Bois à pâte,38760370
2016,Canada,Importations,Produits de pâtes et papiers,Papier journal,32904314
2016,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3322273814
2016,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,253130103
2016,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,305769549
2016,Canada,Importations,Produits fabriqués en bois,Grumes,35993883
2016,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,38670932
2016,Canada,Importations,Produits fabriqués en bois,Panneau de particules,86067658
2016,Canada,Importations,Produits fabriqués en bois,Contreplaqué,467724843
2016,Canada,Importations,Produits fabriqués en bois,Bois à pâte,208077
2016,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",273463137
2016,Canada,Importations,Produits fabriqués en bois,Placage,157599076
2017,Canada,Importations,Produits bruts du bois,Grumes,338124182
2017,Canada,Importations,Produits bruts du bois,Bois à pâte,15899485
2017,Canada,Importations,Produits de pâtes et papiers,Papier journal,31455386
2017,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3469368715
2017,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,271163764
2017,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,304623490
2017,Canada,Importations,Produits fabriqués en bois,Grumes,41604819
2017,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,50309340
2017,Canada,Importations,Produits fabriqués en bois,Panneau de particules,80337874
2017,Canada,Importations,Produits fabriqués en bois,Contreplaqué,556829050
2017,Canada,Importations,Produits fabriqués en bois,Bois à pâte,223111
2017,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",268500045
2017,Canada,Importations,Produits fabriqués en bois,Placage,168235144
2018,Canada,Importations,Produits bruts du bois,Grumes,361563443
2018,Canada,Importations,Produits bruts du bois,Bois à pâte,49303839
2018,Canada,Importations,Produits de pâtes et papiers,Papier journal,27768913
2018,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3587400393
2018,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,326642696
2018,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,347522962
2018,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,44452726
2018,Canada,Importations,Produits fabriqués en bois,Panneau de particules,90595613
2018,Canada,Importations,Produits fabriqués en bois,Contreplaqué,547211616
2018,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",279023503
2018,Canada,Importations,Produits fabriqués en bois,Placage,182830624
2019,Canada,Importations,Produits bruts du bois,Grumes,331351223
2019,Canada,Importations,Produits bruts du bois,Bois à pâte,64981626
2019,Canada,Importations,Produits de pâtes et papiers,Papier journal,25281049
2019,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3508527406
2019,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,336490621
2019,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,337777964
2019,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,54644860
2019,Canada,Importations,Produits fabriqués en bois,Panneau de particules,108984538
2019,Canada,Importations,Produits fabriqués en bois,Contreplaqué,499681194
2019,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",247436913
2019,Canada,Importations,Produits fabriqués en bois,Placage,170730679
2020,Canada,Importations,Produits bruts du bois,Grumes,274201895
2020,Canada,Importations,Produits bruts du bois,Bois à pâte,70238844
2020,Canada,Importations,Produits de pâtes et papiers,Papier journal,19411954
2020,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3236518045
2020,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,322926142
2020,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,282240988
2020,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,58084412
2020,Canada,Importations,Produits fabriqués en bois,Panneau de particules,130499408
2020,Canada,Importations,Produits fabriqués en bois,Contreplaqué,495605217
2020,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",262375033
2020,Canada,Importations,Produits fabriqués en bois,Placage,157859345
2021,Canada,Importations,Produits bruts du bois,Grumes,309684173
2021,Canada,Importations,Produits bruts du bois,Bois à pâte,62427932
2021,Canada,Importations,Produits de pâtes et papiers,Papier journal,14180217
2021,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3520013098
2021,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,361465060
2021,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,436967131
2021,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,72597350
2021,Canada,Importations,Produits fabriqués en bois,Panneau de particules,170223468
2021,Canada,Importations,Produits fabriqués en bois,Contreplaqué,786423214
2021,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",434934072
2021,Canada,Importations,Produits fabriqués en bois,Placage,191919961
2022,Canada,Importations,Produits bruts du bois,Grumes,313585114
2022,Canada,Importations,Produits bruts du bois,Contreplaqué,3855437
2022,Canada,Importations,Produits bruts du bois,Bois à pâte,72849907
2022,Canada,Importations,Produits de pâtes et papiers,Papier journal,5476327
2022,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,4459117245
2022,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,454645402
2022,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,451272831
2022,Canada,Importations,Produits fabriqués en bois,Grumes,39893901
2022,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,79184102
2022,Canada,Importations,Produits fabriqués en bois,Panneau de particules,203590562
2022,Canada,Importations,Produits fabriqués en bois,Contreplaqué,784356895
2022,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",390738024
2022,Canada,Importations,Produits fabriqués en bois,Placage,239022787
2023,Canada,Importations,Produits bruts du bois,Grumes,317345131
2023,Canada,Importations,Produits bruts du bois,Contreplaqué,6373398
2023,Canada,Importations,Produits bruts du bois,Bois à pâte,76207373
2023,Canada,Importations,Produits de pâtes et papiers,Papier journal,4572260
2023,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,4069522056
2023,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,509822185
2023,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,342625551
2023,Canada,Importations,Produits fabriqués en bois,Grumes,40320240
2023,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,81406040
2023,Canada,Importations,Produits fabriqués en bois,Panneau de particules,181922683
2023,Canada,Importations,Produits fabriqués en bois,Contreplaqué,564434927
2023,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",328662925
2023,Canada,Importations,Produits fabriqués en bois,Placage,255546421
2024,Canada,Importations,Produits bruts du bois,Grumes,321819936
2024,Canada,Importations,Produits bruts du bois,Contreplaqué,5246441
2024,Canada,Importations,Produits bruts du bois,Bois à pâte,65382150
2024,Canada,Importations,Produits de pâtes et papiers,Papier journal,5450776
2024,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,4451050368
2024,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,547732901
2024,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,383129723
2024,Canada,Importations,Produits fabriqués en bois,Grumes,31226459
2024,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,95353158
2024,Canada,Importations,Produits fabriqués en bois,Panneau de particules,182662784
2024,Canada,Importations,Produits fabriqués en bois,Contreplaqué,629928718
2024,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",269746634
2024,Canada,Importations,Produits fabriqués en bois,Placage,244338530
