Année,Juridiction,Type de commerce,Groupe de produits de base,Produit,Valeur (en dollars)
2011,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,176568689
2011,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",5172695220
2011,Canada,Exportations,Produits fabriqués en bois,Placage,184703621
2012,Canada,Exportations,Produits bruts du bois,Grumes,599487183
2012,Canada,Exportations,Produits bruts du bois,Bois à pâte,15109246
2012,Canada,Exportations,Produits de pâtes et papiers,Papier journal,2322589907
2012,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,4207712204
2012,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,6428246257
2012,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,195323132
2012,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,883604872
2012,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,200932810
2012,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,171017893
2012,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",5726487969
2012,Canada,Exportations,Produits fabriqués en bois,Placage,217562280
2013,Canada,Exportations,Produits bruts du bois,Grumes,832262433
2013,Canada,Exportations,Produits bruts du bois,Bois à pâte,4671899
2013,Canada,Exportations,Produits de pâtes et papiers,Papier journal,2384195883
2013,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,4413476705
2013,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,6744735451
2013,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,245578258
2013,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,1274086038
2013,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,237310998
2013,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,228893927
2013,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",7414230737
2013,Canada,Exportations,Produits fabriqués en bois,Placage,253802915
2014,Canada,Exportations,Produits bruts du bois,Grumes,818520266
2014,Canada,Exportations,Produits bruts du bois,Bois à pâte,8477025
2014,Canada,Exportations,Produits de pâtes et papiers,Papier journal,2594151930
2014,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,4720251335
2014,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,7209052750
2014,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,325132301
2014,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,1146344180
2014,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,284555669
2014,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,277449589
2014,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",8317386273
2014,Canada,Exportations,Produits fabriqués en bois,Placage,282520724
2015,Canada,Exportations,Produits bruts du bois,Grumes,706007985
2015,Canada,Exportations,Produits bruts du bois,Bois à pâte,13880835
2015,Canada,Exportations,Produits de pâtes et papiers,Papier journal,2334410074
2015,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,4937946875
2015,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,7682051669
2015,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,356746179
2015,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,1291335296
2015,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,328469832
2015,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,357556127
2015,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",8495484947
2015,Canada,Exportations,Produits fabriqués en bois,Placage,354017780
2016,Canada,Exportations,Produits bruts du bois,Grumes,820844708
2016,Canada,Exportations,Produits bruts du bois,Bois à pâte,15011432
2016,Canada,Exportations,Produits de pâtes et papiers,Papier journal,2203015018
2016,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,4533432994
2016,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,7203650042
2016,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,355951373
2016,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,1741874476
2016,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,361621523
2016,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,431984003
2016,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",9972029289
2016,Canada,Exportations,Produits fabriqués en bois,Placage,358078356
2017,Canada,Exportations,Produits bruts du bois,Grumes,857688389
2017,Canada,Exportations,Produits bruts du bois,Bois à pâte,19620814
2017,Canada,Exportations,Produits de pâtes et papiers,Papier journal,1981794549
2017,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,4677550160
2017,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,7820749319
2017,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,380305750
2017,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,1996514627
2017,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,354285268
2017,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,463246634
2017,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",10439403774
2017,Canada,Exportations,Produits fabriqués en bois,Placage,382883053
2018,Canada,Exportations,Produits bruts du bois,Grumes,849945752
2018,Canada,Exportations,Produits bruts du bois,Bois à pâte,35655581
2018,Canada,Exportations,Produits de pâtes et papiers,Papier journal,2268883435
2018,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,5287129506
2018,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,9362347395
2018,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,397781886
2018,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,2252151820
2018,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,336468446
2018,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,497775007
2018,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",10224325396
2018,Canada,Exportations,Produits fabriqués en bois,Placage,425896741
2019,Canada,Exportations,Produits bruts du bois,Grumes,770763465
2019,Canada,Exportations,Produits bruts du bois,Bois à pâte,39512800
2019,Canada,Exportations,Produits de pâtes et papiers,Papier journal,1859781955
2019,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,5095775418
2019,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,7701821503
2019,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,420663689
2019,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,1537866520
2019,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,353979935
2019,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,484752127
2019,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",7964554158
2019,Canada,Exportations,Produits fabriqués en bois,Placage,354867952
2020,Canada,Exportations,Produits bruts du bois,Grumes,435313947
2020,Canada,Exportations,Produits bruts du bois,Bois à pâte,31005704
2020,Canada,Exportations,Produits de pâtes et papiers,Papier journal,1289787785
2020,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,4492679653
2020,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,6420505185
2020,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,346639770
2020,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,2377865179
2020,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,297009654
2020,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,494462899
2020,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",10042965155
2020,Canada,Exportations,Produits fabriqués en bois,Placage,353964996
2021,Canada,Exportations,Produits bruts du bois,Grumes,622556573
2021,Canada,Exportations,Produits bruts du bois,Bois à pâte,27097046
2021,Canada,Exportations,Produits de pâtes et papiers,Papier journal,1354085192
2021,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,4816164503
2021,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,7295682464
2021,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,417414836
2021,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,4828459763
2021,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,319007599
2021,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,651795099
2021,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",16434499887
2021,Canada,Exportations,Produits fabriqués en bois,Placage,517570541
2022,Canada,Exportations,Produits bruts du bois,Grumes,684417531
2022,Canada,Exportations,Produits bruts du bois,Bois à pâte,32330771
2022,Canada,Exportations,Produits de pâtes et papiers,Papier journal,1828670099
2022,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,5879453154
2022,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,8478207298
2022,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,431010925
2022,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,4020392207
2022,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,368400052
2022,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,707421820
2022,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",13644930339
2022,Canada,Exportations,Produits fabriqués en bois,Placage,583451352
2023,Canada,Exportations,Produits bruts du bois,Grumes,639088426
2023,Canada,Exportations,Produits bruts du bois,Bois à pâte,24511862
2023,Canada,Exportations,Produits de pâtes et papiers,Papier journal,1701103635
2023,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,5379227068
2023,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,7154460821
2023,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,328028575
2023,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,2520977421
2023,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,331664702
2023,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,659447717
2023,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",8461064933
2023,Canada,Exportations,Produits fabriqués en bois,Placage,439800985
2024,Canada,Exportations,Produits bruts du bois,Grumes,570924945
2024,Canada,Exportations,Produits bruts du bois,Bois à pâte,17603080
2024,Canada,Exportations,Produits de pâtes et papiers,Papier journal,1528880497
2024,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,5524389583
2024,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,7467611353
2024,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,348977747
2024,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,2896777997
2024,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,356775611
2024,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,668476782
2024,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",8742830697
2024,Canada,Exportations,Produits fabriqués en bois,Placage,452662235
