Année,Juridiction,"Nombre d'emplois",Secteur
2004,Nouveau-Brunswick,4175,Fabrication du papier
2004,Nouveau-Brunswick,1305,Activités de soutien à la foresterie
2004,Nouveau-Brunswick,6020,Fabrication de produits en bois
2004,Terre-Neuve-et-Labrador,975,Foresterie et exploitation forestière
2004,Terre-Neuve-et-Labrador,720,Fabrication du papier
2004,Terre-Neuve-et-Labrador,290,Activités de soutien à la foresterie
2004,Terre-Neuve-et-Labrador,585,Fabrication de produits en bois
2004,Territoires du Nord-Ouest,10,Foresterie et exploitation forestière
2004,Territoires du Nord-Ouest,0,Fabrication du papier
2004,Territoires du Nord-Ouest,180,Activités de soutien à la foresterie
2004,Territoires du Nord-Ouest,15,Fabrication de produits en bois
2004,Nouvelle-Écosse,2265,Foresterie et exploitation forestière
2004,Nouvelle-Écosse,2210,Fabrication du papier
2004,Nouvelle-Écosse,635,Activités de soutien à la foresterie
2004,Nouvelle-Écosse,3385,Fabrication de produits en bois
2004,Nunavut,0,Foresterie et exploitation forestière
2004,Nunavut,0,Fabrication du papier
2004,Nunavut,0,Activités de soutien à la foresterie
2004,Nunavut,0,Fabrication de produits en bois
2004,Ontario,7980,Foresterie et exploitation forestière
2004,Ontario,33880,Fabrication du papier
2004,Ontario,2230,Activités de soutien à la foresterie
2004,Ontario,36235,Fabrication de produits en bois
2004,Île-du-Prince-Édouard,80,Foresterie et exploitation forestière
2004,Île-du-Prince-Édouard,105,Fabrication du papier
2004,Île-du-Prince-Édouard,25,Activités de soutien à la foresterie
2004,Île-du-Prince-Édouard,330,Fabrication de produits en bois
2004,Québec,13740,Foresterie et exploitation forestière
2004,Québec,28235,Fabrication du papier
2004,Québec,5000,Activités de soutien à la foresterie
2004,Québec,45445,Fabrication de produits en bois
2004,Saskatchewan,850,Foresterie et exploitation forestière
2004,Saskatchewan,1615,Fabrication du papier
2004,Saskatchewan,1330,Activités de soutien à la foresterie
2004,Saskatchewan,3555,Fabrication de produits en bois
2004,Yukon,30,Foresterie et exploitation forestière
2004,Yukon,0,Fabrication du papier
2004,Yukon,10,Activités de soutien à la foresterie
2004,Yukon,15,Fabrication de produits en bois
2005,Canada,56710,Foresterie et exploitation forestière
2005,Canada,90845,Fabrication du papier
2005,Canada,20405,Activités de soutien à la foresterie
2005,Canada,152745,Fabrication de produits en bois
2005,Alberta,2885,Foresterie et exploitation forestière
2005,Alberta,3370,Fabrication du papier
2005,Alberta,1870,Activités de soutien à la foresterie
2005,Alberta,12350,Fabrication de produits en bois
2005,Colombie-Britannique,23515,Foresterie et exploitation forestière
2005,Colombie-Britannique,15255,Fabrication du papier
2005,Colombie-Britannique,6735,Activités de soutien à la foresterie
2005,Colombie-Britannique,43690,Fabrication de produits en bois
2005,Manitoba,595,Foresterie et exploitation forestière
2005,Manitoba,2060,Fabrication du papier
2005,Manitoba,600,Activités de soutien à la foresterie
2005,Manitoba,5040,Fabrication de produits en bois
2005,Nouveau-Brunswick,3410,Foresterie et exploitation forestière
2005,Nouveau-Brunswick,2650,Fabrication du papier
2005,Nouveau-Brunswick,1250,Activités de soutien à la foresterie
2005,Nouveau-Brunswick,6185,Fabrication de produits en bois
2005,Terre-Neuve-et-Labrador,885,Foresterie et exploitation forestière
2005,Terre-Neuve-et-Labrador,665,Fabrication du papier
2005,Terre-Neuve-et-Labrador,270,Activités de soutien à la foresterie
2005,Terre-Neuve-et-Labrador,540,Fabrication de produits en bois
2005,Territoires du Nord-Ouest,15,Foresterie et exploitation forestière
2005,Territoires du Nord-Ouest,0,Fabrication du papier
2005,Territoires du Nord-Ouest,165,Activités de soutien à la foresterie
2005,Territoires du Nord-Ouest,10,Fabrication de produits en bois
2005,Nouvelle-Écosse,2170,Foresterie et exploitation forestière
2005,Nouvelle-Écosse,2185,Fabrication du papier
2005,Nouvelle-Écosse,600,Activités de soutien à la foresterie
2005,Nouvelle-Écosse,3320,Fabrication de produits en bois
2005,Nunavut,0,Foresterie et exploitation forestière
2005,Nunavut,0,Fabrication du papier
2005,Nunavut,0,Activités de soutien à la foresterie
2005,Nunavut,0,Fabrication de produits en bois
2005,Ontario,8555,Foresterie et exploitation forestière
2005,Ontario,32675,Fabrication du papier
2005,Ontario,2605,Activités de soutien à la foresterie
2005,Ontario,34315,Fabrication de produits en bois
2005,Île-du-Prince-Édouard,65,Foresterie et exploitation forestière
2005,Île-du-Prince-Édouard,125,Fabrication du papier
2005,Île-du-Prince-Édouard,15,Activités de soutien à la foresterie
2005,Île-du-Prince-Édouard,360,Fabrication de produits en bois
2005,Québec,13895,Foresterie et exploitation forestière
2005,Québec,30385,Fabrication du papier
2005,Québec,5125,Activités de soutien à la foresterie
2005,Québec,43540,Fabrication de produits en bois
2005,Saskatchewan,695,Foresterie et exploitation forestière
2005,Saskatchewan,1475,Fabrication du papier
2005,Saskatchewan,1160,Activités de soutien à la foresterie
2005,Saskatchewan,3370,Fabrication de produits en bois
2005,Yukon,25,Foresterie et exploitation forestière
2005,Yukon,0,Fabrication du papier
2005,Yukon,10,Activités de soutien à la foresterie
2005,Yukon,25,Fabrication de produits en bois
2006,Canada,49960,Foresterie et exploitation forestière
2006,Canada,83915,Fabrication du papier
2006,Canada,21435,Activités de soutien à la foresterie
2006,Canada,135690,Fabrication de produits en bois
2006,Alberta,3025,Foresterie et exploitation forestière
2006,Alberta,3625,Fabrication du papier
2006,Alberta,1990,Activités de soutien à la foresterie
2006,Alberta,12480,Fabrication de produits en bois
2006,Colombie-Britannique,18815,Foresterie et exploitation forestière
2006,Colombie-Britannique,14715,Fabrication du papier
2006,Colombie-Britannique,7625,Activités de soutien à la foresterie
2006,Colombie-Britannique,37855,Fabrication de produits en bois
2006,Manitoba,575,Foresterie et exploitation forestière
2006,Manitoba,1710,Fabrication du papier
2006,Manitoba,570,Activités de soutien à la foresterie
2006,Manitoba,4455,Fabrication de produits en bois
2006,Nouveau-Brunswick,3195,Foresterie et exploitation forestière
2006,Nouveau-Brunswick,2770,Fabrication du papier
2006,Nouveau-Brunswick,1245,Activités de soutien à la foresterie
2006,Nouveau-Brunswick,5390,Fabrication de produits en bois
2006,Terre-Neuve-et-Labrador,840,Foresterie et exploitation forestière
2006,Terre-Neuve-et-Labrador,1020,Fabrication du papier
2006,Terre-Neuve-et-Labrador,260,Activités de soutien à la foresterie
2006,Terre-Neuve-et-Labrador,460,Fabrication de produits en bois
2006,Territoires du Nord-Ouest,15,Foresterie et exploitation forestière
2006,Territoires du Nord-Ouest,0,Fabrication du papier
2006,Territoires du Nord-Ouest,180,Activités de soutien à la foresterie
2006,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2006,Nouvelle-Écosse,1890,Foresterie et exploitation forestière
2006,Nouvelle-Écosse,1860,Fabrication du papier
2006,Nouvelle-Écosse,515,Activités de soutien à la foresterie
2006,Nouvelle-Écosse,3540,Fabrication de produits en bois
2006,Nunavut,0,Foresterie et exploitation forestière
2006,Nunavut,0,Fabrication du papier
2006,Nunavut,0,Activités de soutien à la foresterie
2006,Nunavut,0,Fabrication de produits en bois
2006,Ontario,7695,Foresterie et exploitation forestière
2006,Ontario,29315,Fabrication du papier
2006,Ontario,2590,Activités de soutien à la foresterie
2006,Ontario,30555,Fabrication de produits en bois
2006,Île-du-Prince-Édouard,65,Foresterie et exploitation forestière
2006,Île-du-Prince-Édouard,120,Fabrication du papier
2006,Île-du-Prince-Édouard,10,Activités de soutien à la foresterie
2006,Île-du-Prince-Édouard,385,Fabrication de produits en bois
2006,Québec,13210,Foresterie et exploitation forestière
2006,Québec,28475,Fabrication du papier
2006,Québec,5230,Activités de soutien à la foresterie
