Année,Juridiction,Industrie,Produit,Valeur (1 000 dollars)
2014,Québec,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,5192236
2014,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2014,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2014,Saskatchewan,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2014,Yukon,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2014,Yukon,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2014,Yukon,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2015,Canada,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,25861315
2015,Canada,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,9807737
2015,Canada,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,16053578
2015,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2015,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2015,Alberta,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2015,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,4768032
2015,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,576137
2015,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,4191895
2015,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2015,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2015,Manitoba,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2015,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,1746295
2015,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,452858
2015,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,1293437
2015,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2015,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2015,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2015,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2015,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2015,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2015,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,184382
2015,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,184382
2015,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2015,Nunavut,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2015,Nunavut,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2015,Nunavut,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2015,Ontario,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,7381615
2015,Ontario,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,5039471
2015,Ontario,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,2342144
2015,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2015,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2015,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2015,Québec,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,8589862
2015,Québec,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,2985220
2015,Québec,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,5604642
2015,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2015,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2015,Saskatchewan,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2015,Yukon,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2015,Yukon,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2015,Yukon,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2016,Canada,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,25684269
2016,Canada,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,9839123
2016,Canada,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,15845146
2016,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2016,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2016,Alberta,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2016,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,4426360
2016,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,345532
2016,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,4080828
2016,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2016,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2016,Manitoba,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
