Année,Juridiction,Type de commerce,Groupe de produits de base,Produit,Quantité
2010,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2610988
2010,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",226552
2010,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1747087
2010,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),130580
2010,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),1144397
2010,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1786011
2010,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",1210912
2010,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),59203323
2011,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),3967238
2011,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),683271
2011,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),63033
2011,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2529791
2011,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",222243
2011,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),880562
2011,Canada,Importations,Produits fabriqués en bois,Grumes (mètres cubes),37663
2011,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),109794
2011,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),507894
2011,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),2445888
2011,Canada,Importations,Produits fabriqués en bois,Bois à pâte (mètres cubes),612
2011,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",883886
2011,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),63788479
2012,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),4068661
2012,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),744348
2012,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),66958
2012,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2570252
2012,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",279269
2012,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1237942
2012,Canada,Importations,Produits fabriqués en bois,Grumes (mètres cubes),102430
2012,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),83194
2012,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),368362
2012,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1675947
2012,Canada,Importations,Produits fabriqués en bois,Bois à pâte (mètres cubes),1316
2012,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",1752230
2012,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),70997479
2013,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),4497904
2013,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),715477
2013,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),75878
2013,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2591508
2013,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",250579
2013,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1055381
2013,Canada,Importations,Produits fabriqués en bois,Grumes (mètres cubes),60594
2013,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),95013
2013,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),835064
2013,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1424859
2013,Canada,Importations,Produits fabriqués en bois,Bois à pâte (mètres cubes),700
2013,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",1534493
2013,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),66963933
2014,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),3874184
2014,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),679859
2014,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),66317
2014,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2604735
