Année,Juridiction,Secteur,Employé(e)s
2004,Saskatchewan,Foresterie et exploitation forestière,818
2004,Saskatchewan,Fabrication du papier,1049
2004,Saskatchewan,Activités de soutien à la foresterie,707
2004,Saskatchewan,Fabrication de produits en bois,1634
2004,Yukon,Foresterie et exploitation forestière,0
2004,Yukon,Fabrication du papier,0
2004,Yukon,Activités de soutien à la foresterie,0
2004,Yukon,Fabrication de produits en bois,0
2005,Canada,Foresterie et exploitation forestière,45727
2005,Canada,Fabrication du papier,87689
2005,Canada,Activités de soutien à la foresterie,13416
2005,Canada,Fabrication de produits en bois,136555
2005,Alberta,Foresterie et exploitation forestière,3049
2005,Alberta,Fabrication du papier,3431
2005,Alberta,Activités de soutien à la foresterie,1598
2005,Alberta,Fabrication de produits en bois,12017
2005,Colombie-Britannique,Foresterie et exploitation forestière,16517
2005,Colombie-Britannique,Fabrication du papier,12260
2005,Colombie-Britannique,Activités de soutien à la foresterie,4128
2005,Colombie-Britannique,Fabrication de produits en bois,35936
2005,Manitoba,Foresterie et exploitation forestière,0
2005,Manitoba,Fabrication du papier,1908
2005,Manitoba,Activités de soutien à la foresterie,0
2005,Manitoba,Fabrication de produits en bois,4899
2005,Nouveau-Brunswick,Foresterie et exploitation forestière,0
2005,Nouveau-Brunswick,Fabrication du papier,4055
2005,Nouveau-Brunswick,Activités de soutien à la foresterie,0
2005,Nouveau-Brunswick,Fabrication de produits en bois,6032
2005,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,807
2005,Terre-Neuve-et-Labrador,Fabrication du papier,0
2005,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,0
2005,Terre-Neuve-et-Labrador,Fabrication de produits en bois,513
2005,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2005,Territoires du Nord-Ouest,Fabrication du papier,0
2005,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2005,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2005,Nouvelle-Écosse,Foresterie et exploitation forestière,0
2005,Nouvelle-Écosse,Fabrication du papier,1858
2005,Nouvelle-Écosse,Activités de soutien à la foresterie,0
2005,Nouvelle-Écosse,Fabrication de produits en bois,2748
2005,Nunavut,Foresterie et exploitation forestière,0
2005,Nunavut,Fabrication du papier,0
2005,Nunavut,Activités de soutien à la foresterie,0
2005,Nunavut,Fabrication de produits en bois,0
2005,Ontario,Foresterie et exploitation forestière,6459
2005,Ontario,Fabrication du papier,31240
