Année,Juridiction,Type de commerce,Groupe de produits de base,Valeur (en dollars),Produit
2015,Canada,Importations,Produits fabriqués en bois,36273065,Panneaux de particules orientées
2015,Canada,Importations,Produits fabriqués en bois,84250208,Panneau de particules
2015,Canada,Importations,Produits fabriqués en bois,403943004,Contreplaqué
2015,Canada,Importations,Produits fabriqués en bois,262802789,"Bois d'œuvre résineux"
2015,Canada,Importations,Produits fabriqués en bois,160154576,Placage
2016,Canada,Importations,Produits bruts du bois,345488395,Grumes
2016,Canada,Importations,Produits bruts du bois,38760370,Bois à pâte
2016,Canada,Importations,Produits de pâtes et papiers,32904314,Papier journal
2016,Canada,Importations,Produits de pâtes et papiers,3322273814,Autres papiers et cartons
2016,Canada,Importations,Produits de pâtes et papiers,253130103,Pâte de bois
2016,Canada,Importations,Produits fabriqués en bois,341763432,Bois de feuillus
2016,Canada,Importations,Produits fabriqués en bois,38670932,Panneaux de particules orientées
2016,Canada,Importations,Produits fabriqués en bois,86067658,Panneau de particules
2016,Canada,Importations,Produits fabriqués en bois,467932920,Contreplaqué
2016,Canada,Importations,Produits fabriqués en bois,273463137,"Bois d'œuvre résineux"
2016,Canada,Importations,Produits fabriqués en bois,157599076,Placage
2017,Canada,Importations,Produits bruts du bois,338124182,Grumes
2017,Canada,Importations,Produits bruts du bois,15899485,Bois à pâte
2017,Canada,Importations,Produits de pâtes et papiers,31455386,Papier journal
2017,Canada,Importations,Produits de pâtes et papiers,3469368715,Autres papiers et cartons
2017,Canada,Importations,Produits de pâtes et papiers,271163764,Pâte de bois
2017,Canada,Importations,Produits fabriqués en bois,346228309,Bois de feuillus
2017,Canada,Importations,Produits fabriqués en bois,50309340,Panneaux de particules orientées
2017,Canada,Importations,Produits fabriqués en bois,80337874,Panneau de particules
2017,Canada,Importations,Produits fabriqués en bois,483923055,Contreplaqué
2017,Canada,Importations,Produits fabriqués en bois,268500045,"Bois d'œuvre résineux"
2017,Canada,Importations,Produits fabriqués en bois,168235144,Placage
2018,Canada,Importations,Produits bruts du bois,361563443,Grumes
2018,Canada,Importations,Produits bruts du bois,49303839,Bois à pâte
2018,Canada,Importations,Produits de pâtes et papiers,27768913,Papier journal
2018,Canada,Importations,Produits de pâtes et papiers,3587400393,Autres papiers et cartons
2018,Canada,Importations,Produits de pâtes et papiers,326642696,Pâte de bois
2018,Canada,Importations,Produits fabriqués en bois,347522962,Bois de feuillus
2018,Canada,Importations,Produits fabriqués en bois,44452726,Panneaux de particules orientées
2018,Canada,Importations,Produits fabriqués en bois,90595613,Panneau de particules
2018,Canada,Importations,Produits fabriqués en bois,542360222,Contreplaqué
2018,Canada,Importations,Produits fabriqués en bois,279023503,"Bois d'œuvre résineux"
2018,Canada,Importations,Produits fabriqués en bois,182830624,Placage
2019,Canada,Importations,Produits bruts du bois,331351223,Grumes
2019,Canada,Importations,Produits bruts du bois,64981626,Bois à pâte
2019,Canada,Importations,Produits de pâtes et papiers,25281049,Papier journal
2019,Canada,Importations,Produits de pâtes et papiers,3508527406,Autres papiers et cartons
2019,Canada,Importations,Produits de pâtes et papiers,336490621,Pâte de bois
2019,Canada,Importations,Produits fabriqués en bois,337777964,Bois de feuillus
2019,Canada,Importations,Produits fabriqués en bois,54644860,Panneaux de particules orientées
2019,Canada,Importations,Produits fabriqués en bois,108984538,Panneau de particules
2019,Canada,Importations,Produits fabriqués en bois,499681194,Contreplaqué
2019,Canada,Importations,Produits fabriqués en bois,247436913,"Bois d'œuvre résineux"
2019,Canada,Importations,Produits fabriqués en bois,170730679,Placage
2020,Canada,Importations,Produits bruts du bois,274201895,Grumes
2020,Canada,Importations,Produits bruts du bois,70238844,Bois à pâte
2020,Canada,Importations,Produits de pâtes et papiers,19411954,Papier journal
2020,Canada,Importations,Produits de pâtes et papiers,3236518045,Autres papiers et cartons
2020,Canada,Importations,Produits de pâtes et papiers,322926142,Pâte de bois
2020,Canada,Importations,Produits fabriqués en bois,282240988,Bois de feuillus
2020,Canada,Importations,Produits fabriqués en bois,58084412,Panneaux de particules orientées
2020,Canada,Importations,Produits fabriqués en bois,130499408,Panneau de particules
2020,Canada,Importations,Produits fabriqués en bois,495605217,Contreplaqué
2020,Canada,Importations,Produits fabriqués en bois,262375033,"Bois d'œuvre résineux"
2020,Canada,Importations,Produits fabriqués en bois,157859345,Placage
2021,Canada,Importations,Produits bruts du bois,309684173,Grumes
2021,Canada,Importations,Produits bruts du bois,62427932,Bois à pâte
2021,Canada,Importations,Produits de pâtes et papiers,14180217,Papier journal
2021,Canada,Importations,Produits de pâtes et papiers,3520013098,Autres papiers et cartons
2021,Canada,Importations,Produits de pâtes et papiers,361465060,Pâte de bois
2021,Canada,Importations,Produits fabriqués en bois,436967131,Bois de feuillus
2021,Canada,Importations,Produits fabriqués en bois,72597350,Panneaux de particules orientées
2021,Canada,Importations,Produits fabriqués en bois,170223468,Panneau de particules
2021,Canada,Importations,Produits fabriqués en bois,786423214,Contreplaqué
2021,Canada,Importations,Produits fabriqués en bois,434934072,"Bois d'œuvre résineux"
2021,Canada,Importations,Produits fabriqués en bois,191919961,Placage
2022,Canada,Importations,Produits bruts du bois,313831475,Grumes
2022,Canada,Importations,Produits bruts du bois,23256247,Contreplaqué
2022,Canada,Importations,Produits bruts du bois,72849907,Bois à pâte
2022,Canada,Importations,Produits de pâtes et papiers,5476327,Papier journal
2022,Canada,Importations,Produits de pâtes et papiers,4455403614,Autres papiers et cartons
2022,Canada,Importations,Produits de pâtes et papiers,454647619,Pâte de bois
2022,Canada,Importations,Produits fabriqués en bois,451271387,Bois de feuillus
2022,Canada,Importations,Produits fabriqués en bois,39893901,Grumes
2022,Canada,Importations,Produits fabriqués en bois,79184102,Panneaux de particules orientées
2022,Canada,Importations,Produits fabriqués en bois,203590560,Panneau de particules
2022,Canada,Importations,Produits fabriqués en bois,757123254,Contreplaqué
2022,Canada,Importations,Produits fabriqués en bois,390561251,"Bois d'œuvre résineux"
2022,Canada,Importations,Produits fabriqués en bois,239022787,Placage
2023,Canada,Importations,Produits bruts du bois,316603469,Grumes
2023,Canada,Importations,Produits bruts du bois,23925459,Contreplaqué
2023,Canada,Importations,Produits bruts du bois,76199171,Bois à pâte
2023,Canada,Importations,Produits de pâtes et papiers,4572260,Papier journal
2023,Canada,Importations,Produits de pâtes et papiers,4063489620,Autres papiers et cartons
2023,Canada,Importations,Produits de pâtes et papiers,509793919,Pâte de bois
2023,Canada,Importations,Produits fabriqués en bois,342608298,Bois de feuillus
2023,Canada,Importations,Produits fabriqués en bois,40306402,Grumes
2023,Canada,Importations,Produits fabriqués en bois,75526763,Panneaux de particules orientées
2023,Canada,Importations,Produits fabriqués en bois,181901230,Panneau de particules
2023,Canada,Importations,Produits fabriqués en bois,542072326,Contreplaqué
2023,Canada,Importations,Produits fabriqués en bois,328708950,"Bois d'œuvre résineux"
2023,Canada,Importations,Produits fabriqués en bois,255589311,Placage
