Année,Juridiction,Industrie,"Nombre d'emplois"
2009,Québec,,6120
2009,Québec,Fabrication de produits en bois,26065
2009,Saskatchewan,,340
2009,Saskatchewan,,330
2009,Saskatchewan,,1195
2009,Saskatchewan,Fabrication de produits en bois,1305
2009,Yukon,,20
2009,Yukon,,0
2009,Yukon,,10
2009,Yukon,Fabrication de produits en bois,25
2010,Canada,,34595
2010,Canada,,64480
2010,Canada,,21200
2010,Canada,Fabrication de produits en bois,91195
2010,Alberta,,2205
2010,Alberta,,2820
2010,Alberta,,1710
2010,Alberta,Fabrication de produits en bois,9345
2010,Colombie-Britannique,,11140
2010,Colombie-Britannique,,9575
2010,Colombie-Britannique,,6690
2010,Colombie-Britannique,Fabrication de produits en bois,23605
2010,Manitoba,,330
2010,Manitoba,,1515
2010,Manitoba,,565
2010,Manitoba,Fabrication de produits en bois,2450
2010,Nouveau-Brunswick,,3105
2010,Nouveau-Brunswick,,2875
2010,Nouveau-Brunswick,,1015
2010,Nouveau-Brunswick,Fabrication de produits en bois,3915
2010,Terre-Neuve-et-Labrador,,445
2010,Terre-Neuve-et-Labrador,,460
2010,Terre-Neuve-et-Labrador,,170
2010,Terre-Neuve-et-Labrador,Fabrication de produits en bois,420
2010,Territoires du Nord-Ouest,,10
2010,Territoires du Nord-Ouest,,0
2010,Territoires du Nord-Ouest,,165
2010,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2010,Nouvelle-Écosse,,1395
2010,Nouvelle-Écosse,,2110
2010,Nouvelle-Écosse,,650
2010,Nouvelle-Écosse,Fabrication de produits en bois,2860
2010,Nunavut,,0
2010,Nunavut,,0
2010,Nunavut,,0
2010,Nunavut,Fabrication de produits en bois,0
2010,Ontario,,4650
2010,Ontario,,21795
2010,Ontario,,3030
2010,Ontario,Fabrication de produits en bois,17495
2010,Île-du-Prince-Édouard,,40
2010,Île-du-Prince-Édouard,,115
2010,Île-du-Prince-Édouard,,25
2010,Île-du-Prince-Édouard,Fabrication de produits en bois,95
2010,Québec,,10865
2010,Québec,,22910
2010,Québec,,6090
2010,Québec,Fabrication de produits en bois,29660
2010,Saskatchewan,,385
2010,Saskatchewan,,305
2010,Saskatchewan,,1080
2010,Saskatchewan,Fabrication de produits en bois,1315
2010,Yukon,,25
2010,Yukon,,0
2010,Yukon,,10
2010,Yukon,Fabrication de produits en bois,35
2011,Canada,,35800
2011,Canada,,60700
2011,Canada,,22150
2011,Canada,Fabrication de produits en bois,87270
2011,Alberta,,2585
2011,Alberta,,2785
2011,Alberta,,1620
2011,Alberta,Fabrication de produits en bois,9865
2011,Colombie-Britannique,,12035
2011,Colombie-Britannique,,9345
2011,Colombie-Britannique,,7370
2011,Colombie-Britannique,Fabrication de produits en bois,23385
2011,Manitoba,,345
2011,Manitoba,,1435
2011,Manitoba,,495
2011,Manitoba,Fabrication de produits en bois,2545
2011,Nouveau-Brunswick,,2885
2011,Nouveau-Brunswick,,2700
2011,Nouveau-Brunswick,,910
2011,Nouveau-Brunswick,Fabrication de produits en bois,4025
2011,Terre-Neuve-et-Labrador,,480
2011,Terre-Neuve-et-Labrador,,440
2011,Terre-Neuve-et-Labrador,,195
2011,Terre-Neuve-et-Labrador,Fabrication de produits en bois,410
2011,Territoires du Nord-Ouest,,10
2011,Territoires du Nord-Ouest,,0
2011,Territoires du Nord-Ouest,,180
2011,Territoires du Nord-Ouest,Fabrication de produits en bois,10
2011,Nouvelle-Écosse,,1190
2011,Nouvelle-Écosse,,1860
2011,Nouvelle-Écosse,,580
2011,Nouvelle-Écosse,Fabrication de produits en bois,2005
2011,Nunavut,,0
2011,Nunavut,,0
2011,Nunavut,,0
2011,Nunavut,Fabrication de produits en bois,0
2011,Ontario,,5020
2011,Ontario,,20375
2011,Ontario,,3845
2011,Ontario,Fabrication de produits en bois,16090
2011,Île-du-Prince-Édouard,,45
2011,Île-du-Prince-Édouard,,155
2011,Île-du-Prince-Édouard,,25
2011,Île-du-Prince-Édouard,Fabrication de produits en bois,100
2011,Québec,,10875
2011,Québec,,21340
2011,Québec,,5930
2011,Québec,Fabrication de produits en bois,27480
2011,Saskatchewan,,305
2011,Saskatchewan,,265
2011,Saskatchewan,,990
2011,Saskatchewan,Fabrication de produits en bois,1310
2011,Yukon,,25
2011,Yukon,,0
2011,Yukon,,10
2011,Yukon,Fabrication de produits en bois,45
2012,Canada,,32785
2012,Canada,,58125
2012,Canada,,20860
2012,Canada,Fabrication de produits en bois,89980
2012,Alberta,,2815
2012,Alberta,,2735
2012,Alberta,,1565
2012,Alberta,Fabrication de produits en bois,10010
2012,Colombie-Britannique,,12270
2012,Colombie-Britannique,,8785
2012,Colombie-Britannique,,7435
2012,Colombie-Britannique,Fabrication de produits en bois,25905
2012,Manitoba,,335
2012,Manitoba,,1420
2012,Manitoba,,475
2012,Manitoba,Fabrication de produits en bois,2550
2012,Nouveau-Brunswick,,2465
2012,Nouveau-Brunswick,,2810
2012,Nouveau-Brunswick,,885
2012,Nouveau-Brunswick,Fabrication de produits en bois,4005
2012,Terre-Neuve-et-Labrador,,375
2012,Terre-Neuve-et-Labrador,,370
2012,Terre-Neuve-et-Labrador,,190
2012,Terre-Neuve-et-Labrador,Fabrication de produits en bois,415
2012,Territoires du Nord-Ouest,,10
2012,Territoires du Nord-Ouest,,0
2012,Territoires du Nord-Ouest,,165
2012,Territoires du Nord-Ouest,Fabrication de produits en bois,10
2012,Nouvelle-Écosse,,970
2012,Nouvelle-Écosse,,1075
2012,Nouvelle-Écosse,,440
2012,Nouvelle-Écosse,Fabrication de produits en bois,1880
2012,Nunavut,,0
2012,Nunavut,,0
2012,Nunavut,,0
2012,Nunavut,Fabrication de produits en bois,0
2012,Ontario,,4335
2012,Ontario,,20110
2012,Ontario,,3510
2012,Ontario,Fabrication de produits en bois,16270
2012,Île-du-Prince-Édouard,,45
2012,Île-du-Prince-Édouard,,190
2012,Île-du-Prince-Édouard,,30
2012,Île-du-Prince-Édouard,Fabrication de produits en bois,105
2012,Québec,,8805
2012,Québec,,20375
2012,Québec,,5250
2012,Québec,Fabrication de produits en bois,27405
2012,Saskatchewan,,335
2012,Saskatchewan,,255
2012,Saskatchewan,,900
2012,Saskatchewan,Fabrication de produits en bois,1375
2012,Yukon,,25
2012,Yukon,,0
2012,Yukon,,15
2012,Yukon,Fabrication de produits en bois,50
2013,Canada,,33275
2013,Canada,,58495
2013,Canada,,21140
2013,Canada,Fabrication de produits en bois,93915
2013,Alberta,,2620
2013,Alberta,,2935
2013,Alberta,,1555
2013,Alberta,Fabrication de produits en bois,10090
2013,Colombie-Britannique,,12405
2013,Colombie-Britannique,,9145
2013,Colombie-Britannique,,7545
2013,Colombie-Britannique,Fabrication de produits en bois,26990
2013,Manitoba,,330
2013,Manitoba,,1150
2013,Manitoba,,485
2013,Manitoba,Fabrication de produits en bois,2640
2013,Nouveau-Brunswick,,2650
2013,Nouveau-Brunswick,,3000
2013,Nouveau-Brunswick,,1000
2013,Nouveau-Brunswick,Fabrication de produits en bois,4030
2013,Terre-Neuve-et-Labrador,,360
2013,Terre-Neuve-et-Labrador,,245
2013,Terre-Neuve-et-Labrador,,170
2013,Terre-Neuve-et-Labrador,Fabrication de produits en bois,375
2013,Territoires du Nord-Ouest,,10
2013,Territoires du Nord-Ouest,,0
2013,Territoires du Nord-Ouest,,140
2013,Territoires du Nord-Ouest,Fabrication de produits en bois,5
2013,Nouvelle-Écosse,,995
2013,Nouvelle-Écosse,,920
2013,Nouvelle-Écosse,,475
2013,Nouvelle-Écosse,Fabrication de produits en bois,1885
2013,Nunavut,,0
2013,Nunavut,,0
2013,Nunavut,,0
2013,Nunavut,Fabrication de produits en bois,0
2013,Ontario,,4335
2013,Ontario,,20415
2013,Ontario,,3405
2013,Ontario,Fabrication de produits en bois,17260
2013,Île-du-Prince-Édouard,,50
2013,Île-du-Prince-Édouard,,200
2013,Île-du-Prince-Édouard,,35
2013,Île-du-Prince-Édouard,Fabrication de produits en bois,110
2013,Québec,,9150
2013,Québec,,20260
