Année,Mesure,Valeur
2017,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",220
2017,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",255.206291648288
2017,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",157.666666666667
2018,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",38.211255116427
2018,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",250
2018,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",288.211255116427
2018,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",157.666666666667
2019,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",24.5939799220806
2019,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",160
2019,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",184.593979922081
2019,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",143
2020,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",32.6950068350597
2020,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",4.2
2020,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",36.8950068350597
2020,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",143
2021,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",24.2711302478931
2021,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",300
2021,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",324.271130247893
2021,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",143
2022,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",21.2314092147986
2022,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",93
2022,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",114.231409214799
2022,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",143
