Année,Juridiction,Groupe de produits,Exportations,Importations,Consommation intérieure
2018,Canada,Bois de feuillus (mètres cubes),569229,638037,1319708
2018,Canada,Papier journal (tonnes),2844961,26556,182595
2018,Canada,"Papier d'impression et d'écriture (tonnes)",2394713,634811,1293098
2018,Canada,"Bois d'œuvre résineux (mètres cubes)",40895722,1029296,24512074
2018,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",6781324,1704456,13265362
2018,Canada,Pâte de bois (tonnes),9749384,554015,6987631
2019,Canada,Bois de feuillus (mètres cubes),591558,597672,1038214
2019,Canada,Papier journal (tonnes),2413447,26813,291366
2019,Canada,"Papier d'impression et d'écriture (tonnes)",2154909,560457,1017548
2019,Canada,"Bois d'œuvre résineux (mètres cubes)",38095583,869807,19433524
2019,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",6354299,1510264,12062885
2019,Canada,Pâte de bois (tonnes),9675655,814666,6560011
2020,Canada,Bois de feuillus (mètres cubes),488546,480717,989371
2020,Canada,Papier journal (tonnes),1987081,27358,-2723
2020,Canada,"Papier d'impression et d'écriture (tonnes)",1846067,410379,830312
2020,Canada,"Bois d'œuvre résineux (mètres cubes)",36446211,865702,19137791
2020,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",5795225,1228632,12035921
2020,Canada,Pâte de bois (tonnes),9018360,637996,5918636
2021,Canada,Bois de feuillus (mètres cubes),464508,625296,1040888
2021,Canada,Papier journal (tonnes),1994671,15546,-91125
2021,Canada,"Papier d'impression et d'écriture (tonnes)",1915457,431717,950260
2021,Canada,"Bois d'œuvre résineux (mètres cubes)",37104107,1029906,19767499
2021,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",6381717,1549582,13044637
2021,Canada,Pâte de bois (tonnes),8703465,1020929,6577464
2022,Canada,Bois de feuillus (mètres cubes),436453,620202,1057649
2022,Canada,Papier journal (tonnes),1907487,2816,-66671
2022,Canada,"Papier d'impression et d'écriture (tonnes)",2008009,524371,1115362
2022,Canada,"Bois d'œuvre résineux (mètres cubes)",33514288,850171,17857083
2022,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",6445015,1334865,12635656
2022,Canada,Pâte de bois (tonnes),8666581,452066,5365485
2023,Canada,Bois de feuillus (mètres cubes),397100,531190,1009690
2023,Canada,Papier journal (tonnes),1829958,2373,-64585
2023,Canada,"Papier d'impression et d'écriture (tonnes)",1535533,302736,769203
2023,Canada,"Bois d'œuvre résineux (mètres cubes)",31431281,866985,16973504
2023,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",6071588,1225371,12000530
2023,Canada,Pâte de bois (tonnes),7854609,868852,5574243
