Year,Jurisdiction,Cause,Area (hectares),Number
2024,New Brunswick,Human activity,247,236
2024,New Brunswick,Natural cause,1,3
2024,New Brunswick,Unspecified,46,48
2000,Newfoundland and Labrador,Human activity,232,124
2000,Newfoundland and Labrador,Natural cause,103304,25
2001,Newfoundland and Labrador,Human activity,325,166
2001,Newfoundland and Labrador,Natural cause,641,16
2002,Newfoundland and Labrador,Human activity,385,86
2002,Newfoundland and Labrador,Natural cause,14525,14
2003,Newfoundland and Labrador,Human activity,683,125
2003,Newfoundland and Labrador,Natural cause,27028,15
2004,Newfoundland and Labrador,Human activity,1225,123
2004,Newfoundland and Labrador,Natural cause,932,2
2005,Newfoundland and Labrador,Human activity,187,115
2005,Newfoundland and Labrador,Natural cause,18061,6
2006,Newfoundland and Labrador,Human activity,154,61
2006,Newfoundland and Labrador,Natural cause,3312,5
2007,Newfoundland and Labrador,Human activity,324,59
2007,Newfoundland and Labrador,Natural cause,11026,6
2007,Newfoundland and Labrador,Unspecified,0,1
2008,Newfoundland and Labrador,Human activity,127,71
2008,Newfoundland and Labrador,Natural cause,2,2
2009,Newfoundland and Labrador,Human activity,408,149
2009,Newfoundland and Labrador,Natural cause,16264,2
2010,Newfoundland and Labrador,Human activity,39,42
2010,Newfoundland and Labrador,Natural cause,957,4
2011,Newfoundland and Labrador,Human activity,39,35
2011,Newfoundland and Labrador,Unspecified,387,7
2012,Newfoundland and Labrador,Human activity,1672,109
2012,Newfoundland and Labrador,Natural cause,109,2
2012,Newfoundland and Labrador,Unspecified,27502,27
2013,Newfoundland and Labrador,Human activity,27669,70
2013,Newfoundland and Labrador,Natural cause,2475,1
2014,Newfoundland and Labrador,Human activity,4,1
2014,Newfoundland and Labrador,Unspecified,8832,1
2015,Newfoundland and Labrador,Human activity,91,8
2015,Newfoundland and Labrador,Natural cause,3580,19
2016,Newfoundland and Labrador,Human activity,134,5
2016,Newfoundland and Labrador,Natural cause,10603,13
2017,Newfoundland and Labrador,Human activity,62,78
2017,Newfoundland and Labrador,Natural cause,638,3
2017,Newfoundland and Labrador,Unspecified,0,1
2018,Newfoundland and Labrador,Human activity,355,127
2018,Newfoundland and Labrador,Natural cause,40,4
2018,Newfoundland and Labrador,Unspecified,0,1
2019,Newfoundland and Labrador,Human activity,107,89
2019,Newfoundland and Labrador,Natural cause,209,10
2020,Newfoundland and Labrador,Human activity,148,72
2020,Newfoundland and Labrador,Natural cause,4185,24
2020,Newfoundland and Labrador,Unspecified,1,1
2021,Newfoundland and Labrador,Human activity,244,85
2021,Newfoundland and Labrador,Natural cause,99,4
2022,Newfoundland and Labrador,Human activity,555,101
2022,Newfoundland and Labrador,Natural cause,14458,23
2023,Newfoundland and Labrador,Human activity,133,90
2023,Newfoundland and Labrador,Natural cause,16269,12
2023,Newfoundland and Labrador,Unspecified,0,1
2024,Newfoundland and Labrador,Human activity,34,63
2024,Newfoundland and Labrador,Natural cause,68046,32
2024,Newfoundland and Labrador,Unspecified,0,1
2000,Northwest Territories,Human activity,23,14
2000,Northwest Territories,Natural cause,177796,252
2000,Northwest Territories,Unspecified,17,9
2001,Northwest Territories,Human activity,5,19
2001,Northwest Territories,Natural cause,116756,107
2001,Northwest Territories,Unspecified,0,2
2002,Northwest Territories,Human activity,18,12
2002,Northwest Territories,Natural cause,27068,70
2002,Northwest Territories,Unspecified,4,3
2003,Northwest Territories,Human activity,6,11
2003,Northwest Territories,Natural cause,127812,148
2003,Northwest Territories,Unspecified,3,1
2004,Northwest Territories,Human activity,5805,24
2004,Northwest Territories,Natural cause,501430,254
2004,Northwest Territories,Unspecified,10120,21
2005,Northwest Territories,Human activity,3,10
2005,Northwest Territories,Natural cause,216865,239
2005,Northwest Territories,Unspecified,1265,12
2006,Northwest Territories,Human activity,12,18
2006,Northwest Territories,Natural cause,61312,140
2006,Northwest Territories,Unspecified,73,9
2007,Northwest Territories,Human activity,22181,30
2007,Northwest Territories,Natural cause,422924,141
2007,Northwest Territories,Unspecified,24,13
2008,Northwest Territories,Human activity,5,8
2008,Northwest Territories,Natural cause,308547,214
2008,Northwest Territories,Unspecified,238,18
2009,Northwest Territories,Human activity,8,13
2009,Northwest Territories,Natural cause,10314,44
2009,Northwest Territories,Unspecified,15,3
2010,Northwest Territories,Human activity,7,14
2010,Northwest Territories,Natural cause,350649,201
2010,Northwest Territories,Unspecified,270,9
2011,Northwest Territories,Human activity,151,24
2011,Northwest Territories,Natural cause,329462,168
2011,Northwest Territories,Unspecified,71,9
2012,Northwest Territories,Human activity,597,29
2012,Northwest Territories,Natural cause,301323,253
2012,Northwest Territories,Unspecified,2615,7
2013,Northwest Territories,Human activity,1188,16
2013,Northwest Territories,Natural cause,553871,241
2014,Northwest Territories,Human activity,10616,17
2014,Northwest Territories,Natural cause,3410696,370
2014,Northwest Territories,Unspecified,1,1
