Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2009,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),580579
2009,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),932733
2009,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),944169
2009,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),65529472
2010,Canada,Imports,Primary Wood Products,Logs (cubic metres),4232196
2010,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),733077
2010,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),73466
2010,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2610988
2010,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),226552
2010,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1747087
2010,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),130580
2010,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),1144397
2010,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1786011
2010,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1210912
2010,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),59203323
2011,Canada,Imports,Primary Wood Products,Logs (cubic metres),3967238
2011,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),683271
2011,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),63033
2011,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2529791
2011,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),222243
2011,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),880562
2011,Canada,Imports,Wood-Fabricated Materials,Logs (cubic metres),37663
2011,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),109794
2011,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),507894
2011,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),2445888
2011,Canada,Imports,Wood-Fabricated Materials,Pulpwood (cubic metres),612
2011,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),883886
2011,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),63788479
2012,Canada,Imports,Primary Wood Products,Logs (cubic metres),4068661
2012,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),744348
2012,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),66958
2012,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2570252
2012,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),279269
2012,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1237942
2012,Canada,Imports,Wood-Fabricated Materials,Logs (cubic metres),102430
2012,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),83194
2012,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),368362
2012,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1675947
2012,Canada,Imports,Wood-Fabricated Materials,Pulpwood (cubic metres),1316
2012,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1752230
2012,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),70997479
2013,Canada,Imports,Primary Wood Products,Logs (cubic metres),4497904
2013,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),715477
2013,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),75878
