Year,Jurisdiction,Sector,Number of jobs
2007,Newfoundland and Labrador,Paper manufacturing,1005
2007,Newfoundland and Labrador,Support activities for forestry,260
2007,Newfoundland and Labrador,Wood product manufacturing,485
2007,Northwest Territories,Forestry and logging,15
2007,Northwest Territories,Paper manufacturing,0
2007,Northwest Territories,Support activities for forestry,185
2007,Northwest Territories,Wood product manufacturing,0
2007,Nova Scotia,Forestry and logging,1850
2007,Nova Scotia,Paper manufacturing,2490
2007,Nova Scotia,Support activities for forestry,525
2007,Nova Scotia,Wood product manufacturing,2990
2007,Nunavut,Forestry and logging,0
2007,Nunavut,Paper manufacturing,0
2007,Nunavut,Support activities for forestry,0
2007,Nunavut,Wood product manufacturing,0
2007,Ontario,Forestry and logging,7090
2007,Ontario,Paper manufacturing,26445
2007,Ontario,Support activities for forestry,2595
2007,Ontario,Wood product manufacturing,23890
2007,Prince Edward Island,Forestry and logging,55
2007,Prince Edward Island,Paper manufacturing,110
2007,Prince Edward Island,Support activities for forestry,30
2007,Prince Edward Island,Wood product manufacturing,255
2007,Quebec,Forestry and logging,11745
2007,Quebec,Paper manufacturing,25035
2007,Quebec,Support activities for forestry,5000
2007,Quebec,Wood product manufacturing,32010
2007,Saskatchewan,Forestry and logging,495
2007,Saskatchewan,Paper manufacturing,405
2007,Saskatchewan,Support activities for forestry,1145
2007,Saskatchewan,Wood product manufacturing,1385
2007,Yukon,Forestry and logging,20
2007,Yukon,Paper manufacturing,0
2007,Yukon,Support activities for forestry,10
2007,Yukon,Wood product manufacturing,15
2008,Canada,Forestry and logging,42105
2008,Canada,Paper manufacturing,70290
2008,Canada,Support activities for forestry,20765
2008,Canada,Wood product manufacturing,101955
2008,Alberta,Forestry and logging,2540
2008,Alberta,Paper manufacturing,3115
2008,Alberta,Support activities for forestry,1940
2008,Alberta,Wood product manufacturing,9590
2008,British Columbia,Forestry and logging,14060
2008,British Columbia,Paper manufacturing,11535
2008,British Columbia,Support activities for forestry,7480
2008,British Columbia,Wood product manufacturing,28330
2008,Manitoba,Forestry and logging,450
2008,Manitoba,Paper manufacturing,1635
2008,Manitoba,Support activities for forestry,540
2008,Manitoba,Wood product manufacturing,4265
2008,New Brunswick,Forestry and logging,2835
2008,New Brunswick,Paper manufacturing,3105
2008,New Brunswick,Support activities for forestry,1045
2008,New Brunswick,Wood product manufacturing,4105
2008,Newfoundland and Labrador,Forestry and logging,675
2008,Newfoundland and Labrador,Paper manufacturing,995
2008,Newfoundland and Labrador,Support activities for forestry,215
2008,Newfoundland and Labrador,Wood product manufacturing,420
2008,Northwest Territories,Forestry and logging,15
2008,Northwest Territories,Paper manufacturing,0
2008,Northwest Territories,Support activities for forestry,190
2008,Northwest Territories,Wood product manufacturing,0
2008,Nova Scotia,Forestry and logging,1735
2008,Nova Scotia,Paper manufacturing,2320
2008,Nova Scotia,Support activities for forestry,595
2008,Nova Scotia,Wood product manufacturing,3365
2008,Nunavut,Forestry and logging,0
2008,Nunavut,Paper manufacturing,0
2008,Nunavut,Support activities for forestry,0
2008,Nunavut,Wood product manufacturing,0
2008,Ontario,Forestry and logging,6215
2008,Ontario,Paper manufacturing,24420
2008,Ontario,Support activities for forestry,2595
2008,Ontario,Wood product manufacturing,20670
2008,Prince Edward Island,Forestry and logging,45
2008,Prince Edward Island,Paper manufacturing,105
2008,Prince Edward Island,Support activities for forestry,20
2008,Prince Edward Island,Wood product manufacturing,230
2008,Quebec,Forestry and logging,13095
2008,Quebec,Paper manufacturing,22865
2008,Quebec,Support activities for forestry,4930
2008,Quebec,Wood product manufacturing,29750
2008,Saskatchewan,Forestry and logging,420
2008,Saskatchewan,Paper manufacturing,195
2008,Saskatchewan,Support activities for forestry,1205
2008,Saskatchewan,Wood product manufacturing,1215
2008,Yukon,Forestry and logging,20
2008,Yukon,Paper manufacturing,0
2008,Yukon,Support activities for forestry,10
2008,Yukon,Wood product manufacturing,15
2009,Canada,Forestry and logging,35045
2009,Canada,Paper manufacturing,64945
2009,Canada,Support activities for forestry,22045
2009,Canada,Wood product manufacturing,88000
2009,Alberta,Forestry and logging,2320
2009,Alberta,Paper manufacturing,2735
2009,Alberta,Support activities for forestry,1875
2009,Alberta,Wood product manufacturing,9020
2009,British Columbia,Forestry and logging,10155
2009,British Columbia,Paper manufacturing,10075
2009,British Columbia,Support activities for forestry,7240
2009,British Columbia,Wood product manufacturing,23180
2009,Manitoba,Forestry and logging,350
2009,Manitoba,Paper manufacturing,1435
2009,Manitoba,Support activities for forestry,555
2009,Manitoba,Wood product manufacturing,3450
2009,New Brunswick,Forestry and logging,3020
2009,New Brunswick,Paper manufacturing,2640
2009,New Brunswick,Support activities for forestry,940
2009,New Brunswick,Wood product manufacturing,3815
2009,Newfoundland and Labrador,Forestry and logging,510
2009,Newfoundland and Labrador,Paper manufacturing,645
2009,Newfoundland and Labrador,Support activities for forestry,200
