Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2011,Canada,Imports,Pulp and Paper Products,Wood pulp,168921129
2011,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,223245248
2011,Canada,Imports,Wood-Fabricated Materials,Logs,24338098
2011,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,29613232
2011,Canada,Imports,Wood-Fabricated Materials,Particleboard,46620703
2011,Canada,Imports,Wood-Fabricated Materials,Plywood,462089996
2011,Canada,Imports,Wood-Fabricated Materials,Pulpwood,362180
2011,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,187844903
2011,Canada,Imports,Wood-Fabricated Materials,Veneer,127925871
2012,Canada,Imports,Primary Wood Products,Logs,256523727
2012,Canada,Imports,Primary Wood Products,Pulpwood,38545665
2012,Canada,Imports,Pulp and Paper Products,Newsprint,49088831
2012,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,2681887303
2012,Canada,Imports,Pulp and Paper Products,Wood pulp,187948222
2012,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,247493214
2012,Canada,Imports,Wood-Fabricated Materials,Logs,18179325
2012,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,33551317
2012,Canada,Imports,Wood-Fabricated Materials,Particleboard,53201497
2012,Canada,Imports,Wood-Fabricated Materials,Plywood,361734311
2012,Canada,Imports,Wood-Fabricated Materials,Pulpwood,508103
2012,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,213124193
2012,Canada,Imports,Wood-Fabricated Materials,Veneer,132079404
2013,Canada,Imports,Primary Wood Products,Logs,281668264
2013,Canada,Imports,Primary Wood Products,Pulpwood,37644226
2013,Canada,Imports,Pulp and Paper Products,Newsprint,60270874
2013,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,2785203154
2013,Canada,Imports,Pulp and Paper Products,Wood pulp,173147389
2013,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,261889835
2013,Canada,Imports,Wood-Fabricated Materials,Logs,20761859
2013,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,39949321
2013,Canada,Imports,Wood-Fabricated Materials,Particleboard,58904659
2013,Canada,Imports,Wood-Fabricated Materials,Plywood,363034534
2013,Canada,Imports,Wood-Fabricated Materials,Pulpwood,261435
2013,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,249232778
2013,Canada,Imports,Wood-Fabricated Materials,Veneer,133808963
2014,Canada,Imports,Primary Wood Products,Logs,302784164
2014,Canada,Imports,Primary Wood Products,Pulpwood,40710399
2014,Canada,Imports,Pulp and Paper Products,Newsprint,50930689
2014,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3000516701
2014,Canada,Imports,Pulp and Paper Products,Wood pulp,207963162
2014,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,307758750
2014,Canada,Imports,Wood-Fabricated Materials,Logs,34918130
2014,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,39658537
2014,Canada,Imports,Wood-Fabricated Materials,Particleboard,74074551
2014,Canada,Imports,Wood-Fabricated Materials,Plywood,376524649
2014,Canada,Imports,Wood-Fabricated Materials,Pulpwood,481758
2014,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,263491992
2014,Canada,Imports,Wood-Fabricated Materials,Veneer,146339614
2015,Canada,Imports,Primary Wood Products,Logs,383799433
2015,Canada,Imports,Primary Wood Products,Pulpwood,39092331
2015,Canada,Imports,Pulp and Paper Products,Newsprint,49168797
2015,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3384249166
2015,Canada,Imports,Pulp and Paper Products,Wood pulp,271720954
2015,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,295065927
2015,Canada,Imports,Wood-Fabricated Materials,Logs,32171814
2015,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,36273065
2015,Canada,Imports,Wood-Fabricated Materials,Particleboard,84250208
2015,Canada,Imports,Wood-Fabricated Materials,Plywood,403544981
2015,Canada,Imports,Wood-Fabricated Materials,Pulpwood,398023
2015,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,262802789
2015,Canada,Imports,Wood-Fabricated Materials,Veneer,160154576
2016,Canada,Imports,Primary Wood Products,Logs,345488395
2016,Canada,Imports,Primary Wood Products,Pulpwood,38760370
2016,Canada,Imports,Pulp and Paper Products,Newsprint,32904314
2016,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3322273814
2016,Canada,Imports,Pulp and Paper Products,Wood pulp,253130103
2016,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,305769549
2016,Canada,Imports,Wood-Fabricated Materials,Logs,35993883
2016,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,38670932
2016,Canada,Imports,Wood-Fabricated Materials,Particleboard,86067658
2016,Canada,Imports,Wood-Fabricated Materials,Plywood,467724843
2016,Canada,Imports,Wood-Fabricated Materials,Pulpwood,208077
2016,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,273463137
2016,Canada,Imports,Wood-Fabricated Materials,Veneer,157599076
2017,Canada,Imports,Primary Wood Products,Logs,338124182
2017,Canada,Imports,Primary Wood Products,Pulpwood,15899485
2017,Canada,Imports,Pulp and Paper Products,Newsprint,31455386
2017,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3469368715
2017,Canada,Imports,Pulp and Paper Products,Wood pulp,271163764
2017,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,304623490
2017,Canada,Imports,Wood-Fabricated Materials,Logs,41604819
2017,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,50309340
2017,Canada,Imports,Wood-Fabricated Materials,Particleboard,80337874
2017,Canada,Imports,Wood-Fabricated Materials,Plywood,556829050
