Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2014,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,8317386273
2014,Canada,Exports,Wood-Fabricated Materials,Veneer,282520724
2015,Canada,Exports,Primary Wood Products,Logs,706007985
2015,Canada,Exports,Primary Wood Products,Pulpwood,13880835
2015,Canada,Exports,Pulp and Paper Products,Newsprint,2334410074
2015,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,4937946875
2015,Canada,Exports,Pulp and Paper Products,Wood pulp,7682051669
2015,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,356746179
2015,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,1291335296
2015,Canada,Exports,Wood-Fabricated Materials,Particleboard,328469832
2015,Canada,Exports,Wood-Fabricated Materials,Plywood,357556127
2015,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,8495484947
2015,Canada,Exports,Wood-Fabricated Materials,Veneer,354017780
2016,Canada,Exports,Primary Wood Products,Logs,820844708
2016,Canada,Exports,Primary Wood Products,Pulpwood,15011432
2016,Canada,Exports,Pulp and Paper Products,Newsprint,2203015018
2016,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,4533432994
2016,Canada,Exports,Pulp and Paper Products,Wood pulp,7203650042
2016,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,355951373
2016,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,1741874476
2016,Canada,Exports,Wood-Fabricated Materials,Particleboard,361621523
2016,Canada,Exports,Wood-Fabricated Materials,Plywood,431984003
2016,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,9972029289
2016,Canada,Exports,Wood-Fabricated Materials,Veneer,358078356
2017,Canada,Exports,Primary Wood Products,Logs,857688389
2017,Canada,Exports,Primary Wood Products,Pulpwood,19620814
2017,Canada,Exports,Pulp and Paper Products,Newsprint,1981794549
2017,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,4677550160
2017,Canada,Exports,Pulp and Paper Products,Wood pulp,7820749319
2017,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,380305750
2017,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,1996514627
2017,Canada,Exports,Wood-Fabricated Materials,Particleboard,354285268
2017,Canada,Exports,Wood-Fabricated Materials,Plywood,463246634
2017,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,10439403774
2017,Canada,Exports,Wood-Fabricated Materials,Veneer,382883053
2018,Canada,Exports,Primary Wood Products,Logs,849945752
2018,Canada,Exports,Primary Wood Products,Pulpwood,35655581
2018,Canada,Exports,Pulp and Paper Products,Newsprint,2268883435
