Year,Jurisdiction,Industry,Product,"Value (1,000 dollars)"
2014,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product,0
2014,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2014,Quebec,Wood product manufacturing,Total wood product manufacturing,10929367
2014,Quebec,Wood product manufacturing,Sawmills and wood preservation,5790972
2014,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product,2774178
2014,Quebec,Wood product manufacturing,Other wood product manufacturing,2364217
2014,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,528896
2014,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,0
2014,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product,528896
2014,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,0
2014,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2014,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2014,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product,0
2014,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2015,Canada,Wood product manufacturing,Total wood product manufacturing,47142025
2015,Canada,Wood product manufacturing,Sawmills and wood preservation,28234834
2015,Canada,Wood product manufacturing,Veneer plywood and engineered wood product,11217242
2015,Canada,Wood product manufacturing,Other wood product manufacturing,7689949
2015,Alberta,Wood product manufacturing,Total wood product manufacturing,5799420
2015,Alberta,Wood product manufacturing,Sawmills and wood preservation,3370388
2015,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product,1648610
2015,Alberta,Wood product manufacturing,Other wood product manufacturing,780422
2015,British Columbia,Wood product manufacturing,Total wood product manufacturing,18236330
2015,British Columbia,Wood product manufacturing,Sawmills and wood preservation,13131386
2015,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product,3118688
2015,British Columbia,Wood product manufacturing,Other wood product manufacturing,1986256
2015,Manitoba,Wood product manufacturing,Total wood product manufacturing,145628
2015,Manitoba,Wood product manufacturing,Sawmills and wood preservation,0
2015,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product,145628
2015,Manitoba,Wood product manufacturing,Other wood product manufacturing,0
2015,New Brunswick,Wood product manufacturing,Total wood product manufacturing,0
2015,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,0
2015,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product,0
2015,New Brunswick,Wood product manufacturing,Other wood product manufacturing,0
2015,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,0
2015,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2015,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product,0
2015,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2015,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2015,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2015,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product,0
2015,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2015,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,79943
2015,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,0
2015,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product,0
2015,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,79943
2015,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2015,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2015,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product,0
2015,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2015,Ontario,Wood product manufacturing,Total wood product manufacturing,6220937
2015,Ontario,Wood product manufacturing,Sawmills and wood preservation,2342752
2015,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product,2039858
2015,Ontario,Wood product manufacturing,Other wood product manufacturing,1838327
2015,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,20418
2015,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2015,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product,16516
2015,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,3902
2015,Quebec,Wood product manufacturing,Total wood product manufacturing,12283484
2015,Quebec,Wood product manufacturing,Sawmills and wood preservation,6632544
2015,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product,3083378
2015,Quebec,Wood product manufacturing,Other wood product manufacturing,2567562
2015,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,624654
2015,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,0
2015,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product,624654
2015,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,0
2015,Yukon,Wood product manufacturing,Total wood product manufacturing,0
