Year,Jurisdiction,Insect species,Defoliated area (hectares)
2010,Northwest Territories,Hemlock looper,0
2010,Northwest Territories,Jack pine budworm,0
2010,Northwest Territories,Large aspen tortrix,0
2010,Northwest Territories,Mountain pine beetle,0
2010,Northwest Territories,Spongy moth,0
2010,Northwest Territories,Spruce beetle,0
2010,Northwest Territories,Spruce budworm,83702
2010,Northwest Territories,Swaine jack pine sawfly,0
2010,Northwest Territories,Two-year-cycle spruce budworm,0
2010,Northwest Territories,Western spruce budworm,0
2011,Northwest Territories,Aspen twoleaf tier,0
2011,Northwest Territories,Balsam fir sawfly,0
2011,Northwest Territories,Blackheaded budworm,0
2011,Northwest Territories,Bruce spanworm,0
2011,Northwest Territories,Forest tent caterpillar,0
2011,Northwest Territories,Hemlock looper,0
2011,Northwest Territories,Jack pine budworm,0
2011,Northwest Territories,Large aspen tortrix,0
2011,Northwest Territories,Mountain pine beetle,0
2011,Northwest Territories,Spongy moth,0
2011,Northwest Territories,Spruce beetle,0
2011,Northwest Territories,Spruce budworm,41861
2011,Northwest Territories,Swaine jack pine sawfly,0
2011,Northwest Territories,Two-year-cycle spruce budworm,0
2011,Northwest Territories,Western spruce budworm,0
2012,Northwest Territories,Aspen twoleaf tier,0
2012,Northwest Territories,Balsam fir sawfly,0
2012,Northwest Territories,Blackheaded budworm,0
2012,Northwest Territories,Bruce spanworm,0
2012,Northwest Territories,Forest tent caterpillar,0
2012,Northwest Territories,Hemlock looper,0
2012,Northwest Territories,Jack pine budworm,0
2012,Northwest Territories,Large aspen tortrix,0
2012,Northwest Territories,Mountain pine beetle,0
2012,Northwest Territories,Spongy moth,0
2012,Northwest Territories,Spruce beetle,0
2012,Northwest Territories,Spruce budworm,61457
2012,Northwest Territories,Swaine jack pine sawfly,0
2012,Northwest Territories,Two-year-cycle spruce budworm,0
2012,Northwest Territories,Western spruce budworm,0
2013,Northwest Territories,Aspen twoleaf tier,0
2013,Northwest Territories,Balsam fir sawfly,0
2013,Northwest Territories,Blackheaded budworm,0
2013,Northwest Territories,Bruce spanworm,0
2013,Northwest Territories,Forest tent caterpillar,0
2013,Northwest Territories,Hemlock looper,0
2013,Northwest Territories,Jack pine budworm,0
2013,Northwest Territories,Large aspen tortrix,0
2013,Northwest Territories,Mountain pine beetle,0
2013,Northwest Territories,Spongy moth,0
2013,Northwest Territories,Spruce beetle,0
2013,Northwest Territories,Spruce budworm,53539
2013,Northwest Territories,Swaine jack pine sawfly,0
2013,Northwest Territories,Two-year-cycle spruce budworm,0
2013,Northwest Territories,Western spruce budworm,0
2014,Northwest Territories,Aspen twoleaf tier,0
2014,Northwest Territories,Balsam fir sawfly,0
2014,Northwest Territories,Blackheaded budworm,0
2014,Northwest Territories,Bruce spanworm,0
2014,Northwest Territories,Forest tent caterpillar,1200
2014,Northwest Territories,Hemlock looper,0
2014,Northwest Territories,Jack pine budworm,0
2014,Northwest Territories,Large aspen tortrix,0
2014,Northwest Territories,Mountain pine beetle,0
2014,Northwest Territories,Spongy moth,0
2014,Northwest Territories,Spruce beetle,0
2014,Northwest Territories,Spruce budworm,76400
2014,Northwest Territories,Swaine jack pine sawfly,0
2014,Northwest Territories,Two-year-cycle spruce budworm,0
2014,Northwest Territories,Western spruce budworm,0
2015,Northwest Territories,Aspen twoleaf tier,0
2015,Northwest Territories,Balsam fir sawfly,0
2015,Northwest Territories,Blackheaded budworm,0
2015,Northwest Territories,Bruce spanworm,0
2015,Northwest Territories,Forest tent caterpillar,102901
2015,Northwest Territories,Hemlock looper,0
2015,Northwest Territories,Jack pine budworm,0
2015,Northwest Territories,Large aspen tortrix,0
2015,Northwest Territories,Mountain pine beetle,0
2015,Northwest Territories,Spongy moth,0
2015,Northwest Territories,Spruce beetle,0
2015,Northwest Territories,Spruce budworm,174263
2015,Northwest Territories,Swaine jack pine sawfly,0
2015,Northwest Territories,Two-year-cycle spruce budworm,0
2015,Northwest Territories,Western spruce budworm,0
2016,Northwest Territories,Aspen twoleaf tier,0
2016,Northwest Territories,Balsam fir sawfly,0
2016,Northwest Territories,Blackheaded budworm,0
2016,Northwest Territories,Bruce spanworm,0
2016,Northwest Territories,Forest tent caterpillar,135984
2016,Northwest Territories,Hemlock looper,0
2016,Northwest Territories,Jack pine budworm,0
2016,Northwest Territories,Large aspen tortrix,0
2016,Northwest Territories,Mountain pine beetle,0
2016,Northwest Territories,Spongy moth,0
2016,Northwest Territories,Spruce beetle,0
2016,Northwest Territories,Spruce budworm,122473
2016,Northwest Territories,Swaine jack pine sawfly,0
2016,Northwest Territories,Two-year-cycle spruce budworm,0
2016,Northwest Territories,Western spruce budworm,0
2017,Northwest Territories,Aspen twoleaf tier,0
2017,Northwest Territories,Balsam fir sawfly,0
2017,Northwest Territories,Blackheaded budworm,0
2017,Northwest Territories,Bruce spanworm,0
2017,Northwest Territories,Forest tent caterpillar,1045
2017,Northwest Territories,Hemlock looper,0
2017,Northwest Territories,Jack pine budworm,0
2017,Northwest Territories,Large aspen tortrix,0
2017,Northwest Territories,Mountain pine beetle,0
2017,Northwest Territories,Spongy moth,0
2017,Northwest Territories,Spruce beetle,0
2017,Northwest Territories,Spruce budworm,245859
2017,Northwest Territories,Swaine jack pine sawfly,0
2017,Northwest Territories,Two-year-cycle spruce budworm,0
2017,Northwest Territories,Western spruce budworm,0
2018,Northwest Territories,Aspen twoleaf tier,0
2018,Northwest Territories,Balsam fir sawfly,0
2018,Northwest Territories,Blackheaded budworm,0
2018,Northwest Territories,Bruce spanworm,0
2018,Northwest Territories,Forest tent caterpillar,0
2018,Northwest Territories,Hemlock looper,0
2018,Northwest Territories,Jack pine budworm,0
2018,Northwest Territories,Large aspen tortrix,0
2018,Northwest Territories,Mountain pine beetle,0
2018,Northwest Territories,Spongy moth,0
2018,Northwest Territories,Spruce beetle,0
2018,Northwest Territories,Spruce budworm,391615
2018,Northwest Territories,Swaine jack pine sawfly,0
2018,Northwest Territories,Two-year-cycle spruce budworm,0
2018,Northwest Territories,Western spruce budworm,0
2019,Northwest Territories,Aspen twoleaf tier,0
2019,Northwest Territories,Balsam fir sawfly,0
2019,Northwest Territories,Blackheaded budworm,0
2019,Northwest Territories,Bruce spanworm,0
2019,Northwest Territories,Forest tent caterpillar,0
2019,Northwest Territories,Hemlock looper,0
2019,Northwest Territories,Jack pine budworm,0
2019,Northwest Territories,Large aspen tortrix,0
2019,Northwest Territories,Mountain pine beetle,0
2019,Northwest Territories,Spongy moth,0
2019,Northwest Territories,Spruce beetle,0
2019,Northwest Territories,Spruce budworm,215753
2019,Northwest Territories,Swaine jack pine sawfly,0
2019,Northwest Territories,Two-year-cycle spruce budworm,0
2019,Northwest Territories,Western spruce budworm,0
2020,Northwest Territories,Aspen twoleaf tier,0
2020,Northwest Territories,Balsam fir sawfly,0
2020,Northwest Territories,Blackheaded budworm,0
2020,Northwest Territories,Bruce spanworm,0
2020,Northwest Territories,Forest tent caterpillar,0
2020,Northwest Territories,Hemlock looper,0
2020,Northwest Territories,Jack pine budworm,0
2020,Northwest Territories,Large aspen tortrix,0
2020,Northwest Territories,Mountain pine beetle,0
2020,Northwest Territories,Spongy moth,0
2020,Northwest Territories,Spruce beetle,0
2020,Northwest Territories,Spruce budworm,107760
2020,Northwest Territories,Swaine jack pine sawfly,0
2020,Northwest Territories,Two-year-cycle spruce budworm,0
2020,Northwest Territories,Western spruce budworm,0
2021,Northwest Territories,Aspen twoleaf tier,190350
2021,Northwest Territories,Balsam fir sawfly,0
2021,Northwest Territories,Blackheaded budworm,0
2021,Northwest Territories,Bruce spanworm,0
2021,Northwest Territories,Forest tent caterpillar,0
2021,Northwest Territories,Hemlock looper,0
2021,Northwest Territories,Jack pine budworm,0
2021,Northwest Territories,Large aspen tortrix,2300
2021,Northwest Territories,Mountain pine beetle,0
2021,Northwest Territories,Spongy moth,0
2021,Northwest Territories,Spruce beetle,0
2021,Northwest Territories,Spruce budworm,1030000
2021,Northwest Territories,Swaine jack pine sawfly,0
2021,Northwest Territories,Two-year-cycle spruce budworm,0
2021,Northwest Territories,Western spruce budworm,0
2022,Northwest Territories,Aspen twoleaf tier,0
2022,Northwest Territories,Balsam fir sawfly,0
2022,Northwest Territories,Blackheaded budworm,0
2022,Northwest Territories,Bruce spanworm,0
2022,Northwest Territories,Forest tent caterpillar,0
2022,Northwest Territories,Hemlock looper,0
2022,Northwest Territories,Jack pine budworm,0
2022,Northwest Territories,Large aspen tortrix,0
2022,Northwest Territories,Mountain pine beetle,0
2022,Northwest Territories,Spongy moth,0
2022,Northwest Territories,Spruce beetle,0
2022,Northwest Territories,Spruce budworm,1310000
2022,Northwest Territories,Swaine jack pine sawfly,0
2022,Northwest Territories,Two-year-cycle spruce budworm,0
2022,Northwest Territories,Western spruce budworm,0
2023,Northwest Territories,Aspen twoleaf tier,0
2023,Northwest Territories,Balsam fir sawfly,0
2023,Northwest Territories,Blackheaded budworm,0
2023,Northwest Territories,Bruce spanworm,0
2023,Northwest Territories,Forest tent caterpillar,0
2023,Northwest Territories,Hemlock looper,0
2023,Northwest Territories,Jack pine budworm,0
2023,Northwest Territories,Large aspen tortrix,0
2023,Northwest Territories,Mountain pine beetle,0
2023,Northwest Territories,Spongy moth,0
2023,Northwest Territories,Spruce beetle,0
2023,Northwest Territories,Spruce budworm,529000
2023,Northwest Territories,Swaine jack pine sawfly,0
2023,Northwest Territories,Two-year-cycle spruce budworm,0
2023,Northwest Territories,Western spruce budworm,0
2010,Nova Scotia,Aspen twoleaf tier,0
2010,Nova Scotia,Balsam fir sawfly,0
2010,Nova Scotia,Blackheaded budworm,0
2010,Nova Scotia,Bruce spanworm,0
2010,Nova Scotia,Forest tent caterpillar,0
2010,Nova Scotia,Hemlock looper,0
2010,Nova Scotia,Jack pine budworm,0
2010,Nova Scotia,Large aspen tortrix,0
2010,Nova Scotia,Mountain pine beetle,0
2010,Nova Scotia,Spongy moth,0
2010,Nova Scotia,Spruce beetle,0
2010,Nova Scotia,Spruce budworm,0
2010,Nova Scotia,Swaine jack pine sawfly,0
2010,Nova Scotia,Two-year-cycle spruce budworm,0
2010,Nova Scotia,Western spruce budworm,0
2011,Nova Scotia,Aspen twoleaf tier,0
2011,Nova Scotia,Balsam fir sawfly,0
2011,Nova Scotia,Blackheaded budworm,0
2011,Nova Scotia,Bruce spanworm,0
2011,Nova Scotia,Forest tent caterpillar,0
2011,Nova Scotia,Hemlock looper,0
2011,Nova Scotia,Jack pine budworm,0
2011,Nova Scotia,Large aspen tortrix,0
2011,Nova Scotia,Mountain pine beetle,0
2011,Nova Scotia,Spongy moth,0
2011,Nova Scotia,Spruce beetle,0
2011,Nova Scotia,Spruce budworm,0
2011,Nova Scotia,Swaine jack pine sawfly,0
2011,Nova Scotia,Two-year-cycle spruce budworm,0
2011,Nova Scotia,Western spruce budworm,0
2012,Nova Scotia,Aspen twoleaf tier,0
2012,Nova Scotia,Balsam fir sawfly,0
2012,Nova Scotia,Blackheaded budworm,0
2012,Nova Scotia,Bruce spanworm,0
2012,Nova Scotia,Forest tent caterpillar,0
2012,Nova Scotia,Hemlock looper,0
2012,Nova Scotia,Jack pine budworm,0
2012,Nova Scotia,Large aspen tortrix,0
2012,Nova Scotia,Mountain pine beetle,0
2012,Nova Scotia,Spongy moth,0
2012,Nova Scotia,Spruce beetle,0
2012,Nova Scotia,Spruce budworm,0
2012,Nova Scotia,Swaine jack pine sawfly,0
2012,Nova Scotia,Two-year-cycle spruce budworm,0
2012,Nova Scotia,Western spruce budworm,0
2013,Nova Scotia,Aspen twoleaf tier,0
2013,Nova Scotia,Balsam fir sawfly,0
2013,Nova Scotia,Blackheaded budworm,0
2013,Nova Scotia,Bruce spanworm,0
2013,Nova Scotia,Forest tent caterpillar,0
2013,Nova Scotia,Hemlock looper,0
2013,Nova Scotia,Jack pine budworm,0
2013,Nova Scotia,Large aspen tortrix,0
2013,Nova Scotia,Mountain pine beetle,0
2013,Nova Scotia,Spongy moth,0
2013,Nova Scotia,Spruce beetle,0
2013,Nova Scotia,Spruce budworm,0
2013,Nova Scotia,Swaine jack pine sawfly,0
2013,Nova Scotia,Two-year-cycle spruce budworm,0
2013,Nova Scotia,Western spruce budworm,0
2014,Nova Scotia,Aspen twoleaf tier,0
2014,Nova Scotia,Balsam fir sawfly,0
2014,Nova Scotia,Blackheaded budworm,0
2014,Nova Scotia,Bruce spanworm,0
2014,Nova Scotia,Forest tent caterpillar,0
2014,Nova Scotia,Hemlock looper,0
2014,Nova Scotia,Jack pine budworm,0
2014,Nova Scotia,Large aspen tortrix,0
2014,Nova Scotia,Mountain pine beetle,0
2014,Nova Scotia,Spongy moth,0
2014,Nova Scotia,Spruce beetle,533
2014,Nova Scotia,Spruce budworm,0
2014,Nova Scotia,Swaine jack pine sawfly,0
2014,Nova Scotia,Two-year-cycle spruce budworm,0
2014,Nova Scotia,Western spruce budworm,0
2015,Nova Scotia,Aspen twoleaf tier,0
2015,Nova Scotia,Balsam fir sawfly,0
2015,Nova Scotia,Blackheaded budworm,0
2015,Nova Scotia,Bruce spanworm,0
2015,Nova Scotia,Forest tent caterpillar,0
2015,Nova Scotia,Hemlock looper,0
2015,Nova Scotia,Jack pine budworm,0
2015,Nova Scotia,Large aspen tortrix,0
2015,Nova Scotia,Mountain pine beetle,0
2015,Nova Scotia,Spongy moth,0
2015,Nova Scotia,Spruce beetle,0
2015,Nova Scotia,Spruce budworm,0
2015,Nova Scotia,Swaine jack pine sawfly,0
2015,Nova Scotia,Two-year-cycle spruce budworm,0
2015,Nova Scotia,Western spruce budworm,0
2016,Nova Scotia,Aspen twoleaf tier,0
2016,Nova Scotia,Balsam fir sawfly,0
2016,Nova Scotia,Blackheaded budworm,0
2016,Nova Scotia,Bruce spanworm,0
2016,Nova Scotia,Forest tent caterpillar,0
2016,Nova Scotia,Hemlock looper,0
2016,Nova Scotia,Jack pine budworm,0
2016,Nova Scotia,Large aspen tortrix,0
2016,Nova Scotia,Mountain pine beetle,0
2016,Nova Scotia,Spongy moth,0
2016,Nova Scotia,Spruce beetle,0
2016,Nova Scotia,Spruce budworm,0
2016,Nova Scotia,Swaine jack pine sawfly,0
2016,Nova Scotia,Two-year-cycle spruce budworm,0
2016,Nova Scotia,Western spruce budworm,0
2017,Nova Scotia,Aspen twoleaf tier,0
2017,Nova Scotia,Balsam fir sawfly,0
2017,Nova Scotia,Blackheaded budworm,0
2017,Nova Scotia,Bruce spanworm,0
2017,Nova Scotia,Forest tent caterpillar,0
2017,Nova Scotia,Hemlock looper,0
2017,Nova Scotia,Jack pine budworm,0
2017,Nova Scotia,Large aspen tortrix,0
2017,Nova Scotia,Mountain pine beetle,0
2017,Nova Scotia,Spongy moth,0
2017,Nova Scotia,Spruce beetle,0
2017,Nova Scotia,Spruce budworm,0
2017,Nova Scotia,Swaine jack pine sawfly,0
2017,Nova Scotia,Two-year-cycle spruce budworm,0
2017,Nova Scotia,Western spruce budworm,0
2018,Nova Scotia,Aspen twoleaf tier,0
2018,Nova Scotia,Balsam fir sawfly,0
2018,Nova Scotia,Blackheaded budworm,0
2018,Nova Scotia,Bruce spanworm,0
2018,Nova Scotia,Forest tent caterpillar,0
2018,Nova Scotia,Hemlock looper,0
2018,Nova Scotia,Jack pine budworm,0
2018,Nova Scotia,Large aspen tortrix,0
2018,Nova Scotia,Mountain pine beetle,0
2018,Nova Scotia,Spongy moth,0
2018,Nova Scotia,Spruce beetle,0
2018,Nova Scotia,Spruce budworm,0
2018,Nova Scotia,Swaine jack pine sawfly,0
2018,Nova Scotia,Two-year-cycle spruce budworm,0
2018,Nova Scotia,Western spruce budworm,0
2019,Nova Scotia,Aspen twoleaf tier,0
2019,Nova Scotia,Balsam fir sawfly,0
2019,Nova Scotia,Blackheaded budworm,0
2019,Nova Scotia,Bruce spanworm,0
2019,Nova Scotia,Forest tent caterpillar,0
2019,Nova Scotia,Hemlock looper,0
2019,Nova Scotia,Jack pine budworm,0
2019,Nova Scotia,Large aspen tortrix,0
2019,Nova Scotia,Mountain pine beetle,0
2019,Nova Scotia,Spongy moth,0
2019,Nova Scotia,Spruce beetle,0
2019,Nova Scotia,Spruce budworm,0
2019,Nova Scotia,Swaine jack pine sawfly,0
2019,Nova Scotia,Two-year-cycle spruce budworm,0
2019,Nova Scotia,Western spruce budworm,0
2020,Nova Scotia,Aspen twoleaf tier,0
2020,Nova Scotia,Balsam fir sawfly,0
2020,Nova Scotia,Blackheaded budworm,0
2020,Nova Scotia,Bruce spanworm,0
2020,Nova Scotia,Forest tent caterpillar,0
2020,Nova Scotia,Hemlock looper,0
2020,Nova Scotia,Jack pine budworm,0
2020,Nova Scotia,Large aspen tortrix,0
2020,Nova Scotia,Mountain pine beetle,0
2020,Nova Scotia,Spongy moth,0
2020,Nova Scotia,Spruce beetle,0
2020,Nova Scotia,Spruce budworm,0
2020,Nova Scotia,Swaine jack pine sawfly,0
2020,Nova Scotia,Two-year-cycle spruce budworm,0
2020,Nova Scotia,Western spruce budworm,0
2021,Nova Scotia,Aspen twoleaf tier,0
2021,Nova Scotia,Balsam fir sawfly,0
2021,Nova Scotia,Blackheaded budworm,0
2021,Nova Scotia,Bruce spanworm,0
2021,Nova Scotia,Forest tent caterpillar,0
2021,Nova Scotia,Hemlock looper,0
2021,Nova Scotia,Jack pine budworm,0
2021,Nova Scotia,Large aspen tortrix,0
2021,Nova Scotia,Mountain pine beetle,0
2021,Nova Scotia,Spongy moth,0
2021,Nova Scotia,Spruce beetle,0
2021,Nova Scotia,Spruce budworm,0
2021,Nova Scotia,Swaine jack pine sawfly,0
2021,Nova Scotia,Two-year-cycle spruce budworm,0
2021,Nova Scotia,Western spruce budworm,0
2022,Nova Scotia,Aspen twoleaf tier,0
2022,Nova Scotia,Balsam fir sawfly,0
2022,Nova Scotia,Blackheaded budworm,0
2022,Nova Scotia,Bruce spanworm,0
2022,Nova Scotia,Forest tent caterpillar,0
2022,Nova Scotia,Hemlock looper,0
2022,Nova Scotia,Jack pine budworm,0
2022,Nova Scotia,Large aspen tortrix,0
2022,Nova Scotia,Mountain pine beetle,0
2022,Nova Scotia,Spongy moth,0
2022,Nova Scotia,Spruce beetle,0
2022,Nova Scotia,Spruce budworm,0
2022,Nova Scotia,Swaine jack pine sawfly,0
2022,Nova Scotia,Two-year-cycle spruce budworm,0
2022,Nova Scotia,Western spruce budworm,0
2023,Nova Scotia,Aspen twoleaf tier,0
2023,Nova Scotia,Balsam fir sawfly,0
2023,Nova Scotia,Blackheaded budworm,0
2023,Nova Scotia,Bruce spanworm,0
2023,Nova Scotia,Forest tent caterpillar,0
2023,Nova Scotia,Hemlock looper,0
2023,Nova Scotia,Jack pine budworm,0
2023,Nova Scotia,Large aspen tortrix,0
2023,Nova Scotia,Mountain pine beetle,0
2023,Nova Scotia,Spongy moth,0
2023,Nova Scotia,Spruce beetle,0
2023,Nova Scotia,Spruce budworm,0
2023,Nova Scotia,Swaine jack pine sawfly,0
2023,Nova Scotia,Two-year-cycle spruce budworm,0
2023,Nova Scotia,Western spruce budworm,0
2010,Ontario,Aspen twoleaf tier,92
2010,Ontario,Balsam fir sawfly,0
2010,Ontario,Blackheaded budworm,0
2010,Ontario,Bruce spanworm,0
2010,Ontario,Forest tent caterpillar,60424
2010,Ontario,Hemlock looper,0
2010,Ontario,Jack pine budworm,44968
2010,Ontario,Large aspen tortrix,15594
2010,Ontario,Mountain pine beetle,0
2010,Ontario,Spongy moth,0
2010,Ontario,Spruce beetle,0
2010,Ontario,Spruce budworm,412320
2010,Ontario,Swaine jack pine sawfly,0
2010,Ontario,Two-year-cycle spruce budworm,0
2010,Ontario,Western spruce budworm,0
2011,Ontario,Aspen twoleaf tier,1482
2011,Ontario,Balsam fir sawfly,0
2011,Ontario,Blackheaded budworm,0
2011,Ontario,Bruce spanworm,0
2011,Ontario,Forest tent caterpillar,54623
2011,Ontario,Hemlock looper,0
2011,Ontario,Jack pine budworm,27765
2011,Ontario,Large aspen tortrix,12595
2011,Ontario,Mountain pine beetle,0
2011,Ontario,Spongy moth,0
2011,Ontario,Spruce beetle,0
2011,Ontario,Spruce budworm,242921
2011,Ontario,Swaine jack pine sawfly,0
2011,Ontario,Two-year-cycle spruce budworm,0
2011,Ontario,Western spruce budworm,0
2012,Ontario,Aspen twoleaf tier,174655
2012,Ontario,Balsam fir sawfly,0
2012,Ontario,Blackheaded budworm,0
2012,Ontario,Bruce spanworm,0
2012,Ontario,Forest tent caterpillar,27716
2012,Ontario,Hemlock looper,0
2012,Ontario,Jack pine budworm,61018
2012,Ontario,Large aspen tortrix,3521
2012,Ontario,Mountain pine beetle,0
2012,Ontario,Spongy moth,8123
2012,Ontario,Spruce beetle,0
2012,Ontario,Spruce budworm,99797
2012,Ontario,Swaine jack pine sawfly,0
2012,Ontario,Two-year-cycle spruce budworm,0
2012,Ontario,Western spruce budworm,0
2013,Ontario,Aspen twoleaf tier,22450
2013,Ontario,Balsam fir sawfly,0
2013,Ontario,Blackheaded budworm,0
2013,Ontario,Bruce spanworm,0
2013,Ontario,Forest tent caterpillar,195626
2013,Ontario,Hemlock looper,0
2013,Ontario,Jack pine budworm,91865
2013,Ontario,Large aspen tortrix,0
2013,Ontario,Mountain pine beetle,0
2013,Ontario,Spongy moth,8451
2013,Ontario,Spruce beetle,0
2013,Ontario,Spruce budworm,348
2013,Ontario,Swaine jack pine sawfly,0
2013,Ontario,Two-year-cycle spruce budworm,0
2013,Ontario,Western spruce budworm,0
2014,Ontario,Aspen twoleaf tier,749
2014,Ontario,Balsam fir sawfly,0
2014,Ontario,Blackheaded budworm,0
2014,Ontario,Bruce spanworm,0
2014,Ontario,Forest tent caterpillar,468866
2014,Ontario,Hemlock looper,0
2014,Ontario,Jack pine budworm,22010
2014,Ontario,Large aspen tortrix,0
2014,Ontario,Mountain pine beetle,0
2014,Ontario,Spongy moth,23335
2014,Ontario,Spruce beetle,0
2014,Ontario,Spruce budworm,30317
2014,Ontario,Swaine jack pine sawfly,0
2014,Ontario,Two-year-cycle spruce budworm,0
2014,Ontario,Western spruce budworm,0
2015,Ontario,Aspen twoleaf tier,0
2015,Ontario,Balsam fir sawfly,0
2015,Ontario,Blackheaded budworm,0
2015,Ontario,Bruce spanworm,0
2015,Ontario,Forest tent caterpillar,682985
2015,Ontario,Hemlock looper,0
2015,Ontario,Jack pine budworm,21349
2015,Ontario,Large aspen tortrix,0
2015,Ontario,Mountain pine beetle,0
2015,Ontario,Spongy moth,2529
2015,Ontario,Spruce beetle,0
2015,Ontario,Spruce budworm,149310
2015,Ontario,Swaine jack pine sawfly,0
2015,Ontario,Two-year-cycle spruce budworm,0
2015,Ontario,Western spruce budworm,0
2016,Ontario,Aspen twoleaf tier,0
2016,Ontario,Balsam fir sawfly,591
2016,Ontario,Blackheaded budworm,0
2016,Ontario,Bruce spanworm,0
2016,Ontario,Forest tent caterpillar,1123591
2016,Ontario,Hemlock looper,0
2016,Ontario,Jack pine budworm,5086
2016,Ontario,Large aspen tortrix,22586
2016,Ontario,Mountain pine beetle,0
2016,Ontario,Spongy moth,0
2016,Ontario,Spruce beetle,0
2016,Ontario,Spruce budworm,119462
2016,Ontario,Swaine jack pine sawfly,0
2016,Ontario,Two-year-cycle spruce budworm,0
2016,Ontario,Western spruce budworm,0
2017,Ontario,Aspen twoleaf tier,0
2017,Ontario,Balsam fir sawfly,270
2017,Ontario,Blackheaded budworm,0
2017,Ontario,Bruce spanworm,0
2017,Ontario,Forest tent caterpillar,2348545
2017,Ontario,Hemlock looper,0
2017,Ontario,Jack pine budworm,100510
2017,Ontario,Large aspen tortrix,96629
2017,Ontario,Mountain pine beetle,0
2017,Ontario,Spongy moth,21712
2017,Ontario,Spruce beetle,0
2017,Ontario,Spruce budworm,147546
2017,Ontario,Swaine jack pine sawfly,0
2017,Ontario,Two-year-cycle spruce budworm,0
2017,Ontario,Western spruce budworm,0
2018,Ontario,Aspen twoleaf tier,0
2018,Ontario,Balsam fir sawfly,31
2018,Ontario,Blackheaded budworm,0
2018,Ontario,Bruce spanworm,0
2018,Ontario,Forest tent caterpillar,1004373
2018,Ontario,Hemlock looper,0
2018,Ontario,Jack pine budworm,625955
2018,Ontario,Large aspen tortrix,39270
2018,Ontario,Mountain pine beetle,0
2018,Ontario,Spongy moth,14930
2018,Ontario,Spruce beetle,0
2018,Ontario,Spruce budworm,136410
2018,Ontario,Swaine jack pine sawfly,0
2018,Ontario,Two-year-cycle spruce budworm,0
2018,Ontario,Western spruce budworm,0
2019,Ontario,Aspen twoleaf tier,0
2019,Ontario,Balsam fir sawfly,25
2019,Ontario,Blackheaded budworm,0
2019,Ontario,Bruce spanworm,0
2019,Ontario,Forest tent caterpillar,35027
2019,Ontario,Hemlock looper,0
2019,Ontario,Jack pine budworm,1029916
2019,Ontario,Large aspen tortrix,17855
2019,Ontario,Mountain pine beetle,0
2019,Ontario,Spongy moth,47431
2019,Ontario,Spruce beetle,0
2019,Ontario,Spruce budworm,343426
2019,Ontario,Swaine jack pine sawfly,0
2019,Ontario,Two-year-cycle spruce budworm,0
2019,Ontario,Western spruce budworm,0
2020,Ontario,Aspen twoleaf tier,0
2020,Ontario,Balsam fir sawfly,0
2020,Ontario,Blackheaded budworm,0
2020,Ontario,Bruce spanworm,0
2020,Ontario,Forest tent caterpillar,0
2020,Ontario,Hemlock looper,0
2020,Ontario,Jack pine budworm,1060000
2020,Ontario,Large aspen tortrix,22642
2020,Ontario,Mountain pine beetle,0
2020,Ontario,Spongy moth,583158
2020,Ontario,Spruce beetle,0
2020,Ontario,Spruce budworm,447730
2020,Ontario,Swaine jack pine sawfly,0
2020,Ontario,Two-year-cycle spruce budworm,0
2020,Ontario,Western spruce budworm,0
2021,Ontario,Aspen twoleaf tier,0
2021,Ontario,Balsam fir sawfly,0
2021,Ontario,Blackheaded budworm,0
2021,Ontario,Bruce spanworm,0
2021,Ontario,Forest tent caterpillar,36727
2021,Ontario,Hemlock looper,0
2021,Ontario,Jack pine budworm,345389
2021,Ontario,Large aspen tortrix,5457
2021,Ontario,Mountain pine beetle,0
2021,Ontario,Spongy moth,1780000
2021,Ontario,Spruce beetle,0
2021,Ontario,Spruce budworm,1330000
2021,Ontario,Swaine jack pine sawfly,0
2021,Ontario,Two-year-cycle spruce budworm,0
2021,Ontario,Western spruce budworm,0
2022,Ontario,Aspen twoleaf tier,0
2022,Ontario,Balsam fir sawfly,0
2022,Ontario,Blackheaded budworm,0
2022,Ontario,Bruce spanworm,0
2022,Ontario,Forest tent caterpillar,259997
2022,Ontario,Hemlock looper,0
2022,Ontario,Jack pine budworm,133472
2022,Ontario,Large aspen tortrix,2308
2022,Ontario,Mountain pine beetle,0
2022,Ontario,Spongy moth,57078
2022,Ontario,Spruce beetle,0
2022,Ontario,Spruce budworm,2040000
2022,Ontario,Swaine jack pine sawfly,0
2022,Ontario,Two-year-cycle spruce budworm,0
2022,Ontario,Western spruce budworm,0
2023,Ontario,Aspen twoleaf tier,0
2023,Ontario,Balsam fir sawfly,0
2023,Ontario,Blackheaded budworm,0
2023,Ontario,Bruce spanworm,0
2023,Ontario,Forest tent caterpillar,404714
2023,Ontario,Hemlock looper,0
2023,Ontario,Jack pine budworm,61431
2023,Ontario,Large aspen tortrix,0
2023,Ontario,Mountain pine beetle,0
2023,Ontario,Spongy moth,2542
2023,Ontario,Spruce beetle,0
2023,Ontario,Spruce budworm,1990000
2023,Ontario,Swaine jack pine sawfly,0
2023,Ontario,Two-year-cycle spruce budworm,0
2023,Ontario,Western spruce budworm,0
2010,Prince Edward Island,Aspen twoleaf tier,0
2010,Prince Edward Island,Balsam fir sawfly,0
2010,Prince Edward Island,Blackheaded budworm,0
2010,Prince Edward Island,Bruce spanworm,0
2010,Prince Edward Island,Forest tent caterpillar,0
