Year,Jurisdiction,Insect species,Defoliated area (hectares)
2016,Alberta,Two-year-cycle spruce budworm,0
2016,Alberta,Western spruce budworm,0
2017,Alberta,Aspen twoleaf tier,0
2017,Alberta,Balsam fir sawfly,0
2017,Alberta,Blackheaded budworm,0
2017,Alberta,Bruce spanworm,0
2017,Alberta,Forest tent caterpillar,593986
2017,Alberta,Hemlock looper,0
2017,Alberta,Jack pine budworm,0
2017,Alberta,Large aspen tortrix,294123
2017,Alberta,Mountain pine beetle,213170
2017,Alberta,Spongy moth,0
2017,Alberta,Spruce beetle,3138
2017,Alberta,Spruce budworm,17337
2017,Alberta,Swaine jack pine sawfly,0
2017,Alberta,Two-year-cycle spruce budworm,0
2017,Alberta,Western spruce budworm,0
2018,Alberta,Aspen twoleaf tier,0
2018,Alberta,Balsam fir sawfly,0
2018,Alberta,Blackheaded budworm,0
2018,Alberta,Bruce spanworm,0
2018,Alberta,Forest tent caterpillar,273281
2018,Alberta,Hemlock looper,0
2018,Alberta,Jack pine budworm,1217
2018,Alberta,Large aspen tortrix,508812
2018,Alberta,Mountain pine beetle,205015
2018,Alberta,Spongy moth,0
2018,Alberta,Spruce beetle,2145
2018,Alberta,Spruce budworm,30446
2018,Alberta,Swaine jack pine sawfly,0
2018,Alberta,Two-year-cycle spruce budworm,0
2018,Alberta,Western spruce budworm,0
2019,Alberta,Aspen twoleaf tier,130776
2019,Alberta,Balsam fir sawfly,0
2019,Alberta,Blackheaded budworm,0
2019,Alberta,Bruce spanworm,0
2019,Alberta,Forest tent caterpillar,127286
2019,Alberta,Hemlock looper,0
2019,Alberta,Jack pine budworm,0
2019,Alberta,Large aspen tortrix,1770
2019,Alberta,Mountain pine beetle,178909
2019,Alberta,Spongy moth,0
2019,Alberta,Spruce beetle,1762
2019,Alberta,Spruce budworm,47213
2019,Alberta,Swaine jack pine sawfly,0
2019,Alberta,Two-year-cycle spruce budworm,0
2019,Alberta,Western spruce budworm,0
2020,Alberta,Aspen twoleaf tier,157816
2020,Alberta,Balsam fir sawfly,0
2020,Alberta,Blackheaded budworm,0
2020,Alberta,Bruce spanworm,277391
2020,Alberta,Forest tent caterpillar,77518
2020,Alberta,Hemlock looper,0
2020,Alberta,Jack pine budworm,0
2020,Alberta,Large aspen tortrix,96839
2020,Alberta,Mountain pine beetle,77637
2020,Alberta,Spongy moth,0
2020,Alberta,Spruce beetle,2853
2020,Alberta,Spruce budworm,65719
2020,Alberta,Swaine jack pine sawfly,0
2020,Alberta,Two-year-cycle spruce budworm,0
2020,Alberta,Western spruce budworm,0
2021,Alberta,Aspen twoleaf tier,33757
2021,Alberta,Balsam fir sawfly,0
2021,Alberta,Blackheaded budworm,0
2021,Alberta,Bruce spanworm,0
2021,Alberta,Forest tent caterpillar,86
2021,Alberta,Hemlock looper,0
2021,Alberta,Jack pine budworm,0
2021,Alberta,Large aspen tortrix,116532
2021,Alberta,Mountain pine beetle,23051
2021,Alberta,Spongy moth,0
2021,Alberta,Spruce beetle,2095
2021,Alberta,Spruce budworm,100443
2021,Alberta,Swaine jack pine sawfly,0
2021,Alberta,Two-year-cycle spruce budworm,927
2021,Alberta,Western spruce budworm,0
2022,Alberta,Aspen twoleaf tier,34860
2022,Alberta,Balsam fir sawfly,0
2022,Alberta,Blackheaded budworm,0
2022,Alberta,Bruce spanworm,0
2022,Alberta,Forest tent caterpillar,0
2022,Alberta,Hemlock looper,0
2022,Alberta,Jack pine budworm,0
2022,Alberta,Large aspen tortrix,109407
2022,Alberta,Mountain pine beetle,8981
2022,Alberta,Spongy moth,0
2022,Alberta,Spruce beetle,182
2022,Alberta,Spruce budworm,68069
2022,Alberta,Swaine jack pine sawfly,0
2022,Alberta,Two-year-cycle spruce budworm,0
2022,Alberta,Western spruce budworm,0
2023,Alberta,Aspen twoleaf tier,53346
2023,Alberta,Balsam fir sawfly,0
2023,Alberta,Blackheaded budworm,0
2023,Alberta,Bruce spanworm,0
2023,Alberta,Forest tent caterpillar,0
2023,Alberta,Hemlock looper,0
2023,Alberta,Jack pine budworm,0
2023,Alberta,Large aspen tortrix,23133
2023,Alberta,Mountain pine beetle,1934
2023,Alberta,Spongy moth,0
2023,Alberta,Spruce beetle,0
2023,Alberta,Spruce budworm,73183
2023,Alberta,Swaine jack pine sawfly,0
2023,Alberta,Two-year-cycle spruce budworm,0
2023,Alberta,Western spruce budworm,0
2010,British Columbia,Aspen twoleaf tier,0
2010,British Columbia,Balsam fir sawfly,0
2010,British Columbia,Blackheaded budworm,93241
2010,British Columbia,Bruce spanworm,1675014
2010,British Columbia,Forest tent caterpillar,132626
2010,British Columbia,Hemlock looper,3318
2010,British Columbia,Jack pine budworm,0
2010,British Columbia,Large aspen tortrix,0
2010,British Columbia,Mountain pine beetle,6251586
2010,British Columbia,Spongy moth,0
2010,British Columbia,Spruce beetle,30096
2010,British Columbia,Spruce budworm,0
2010,British Columbia,Swaine jack pine sawfly,0
2010,British Columbia,Two-year-cycle spruce budworm,97084
2010,British Columbia,Western spruce budworm,500121
2011,British Columbia,Aspen twoleaf tier,0
2011,British Columbia,Balsam fir sawfly,0
2011,British Columbia,Blackheaded budworm,41112
2011,British Columbia,Bruce spanworm,9043
2011,British Columbia,Forest tent caterpillar,453137
2011,British Columbia,Hemlock looper,7051
2011,British Columbia,Jack pine budworm,0
2011,British Columbia,Large aspen tortrix,51936
2011,British Columbia,Mountain pine beetle,4624907
2011,British Columbia,Spongy moth,0
2011,British Columbia,Spruce beetle,19346
2011,British Columbia,Spruce budworm,0
2011,British Columbia,Swaine jack pine sawfly,0
2011,British Columbia,Two-year-cycle spruce budworm,178206
2011,British Columbia,Western spruce budworm,616512
2012,British Columbia,Aspen twoleaf tier,0
2012,British Columbia,Balsam fir sawfly,0
2012,British Columbia,Blackheaded budworm,34849
2012,British Columbia,Bruce spanworm,0
2012,British Columbia,Forest tent caterpillar,198932
2012,British Columbia,Hemlock looper,8103
