Year,Jurisdiction,Sector,Employees
2005,Prince Edward Island,Forestry and logging,0
2005,Prince Edward Island,Paper manufacturing,0
2005,Prince Edward Island,Support activities for forestry,0
2005,Prince Edward Island,Wood product manufacturing,0
2005,Quebec,Forestry and logging,13644
2005,Quebec,Paper manufacturing,29706
2005,Quebec,Support activities for forestry,3657
2005,Quebec,Wood product manufacturing,44546
2005,Saskatchewan,Forestry and logging,733
2005,Saskatchewan,Paper manufacturing,0
2005,Saskatchewan,Support activities for forestry,769
2005,Saskatchewan,Wood product manufacturing,1980
2005,Yukon,Forestry and logging,0
2005,Yukon,Paper manufacturing,0
2005,Yukon,Support activities for forestry,0
2005,Yukon,Wood product manufacturing,0
2006,Canada,Forestry and logging,42290
2006,Canada,Paper manufacturing,83810
2006,Canada,Support activities for forestry,13771
2006,Canada,Wood product manufacturing,131471
2006,Alberta,Forestry and logging,2769
2006,Alberta,Paper manufacturing,3751
2006,Alberta,Support activities for forestry,1707
2006,Alberta,Wood product manufacturing,13124
2006,British Columbia,Forestry and logging,14952
2006,British Columbia,Paper manufacturing,12234
2006,British Columbia,Support activities for forestry,4545
2006,British Columbia,Wood product manufacturing,34195
2006,Manitoba,Forestry and logging,0
2006,Manitoba,Paper manufacturing,1743
2006,Manitoba,Support activities for forestry,0
2006,Manitoba,Wood product manufacturing,4119
2006,New Brunswick,Forestry and logging,2340
2006,New Brunswick,Paper manufacturing,3627
2006,New Brunswick,Support activities for forestry,0
2006,New Brunswick,Wood product manufacturing,5970
2006,Newfoundland and Labrador,Forestry and logging,0
2006,Newfoundland and Labrador,Paper manufacturing,0
2006,Newfoundland and Labrador,Support activities for forestry,0
2006,Newfoundland and Labrador,Wood product manufacturing,0
2006,Northwest Territories,Forestry and logging,0
2006,Northwest Territories,Paper manufacturing,0
2006,Northwest Territories,Support activities for forestry,0
2006,Northwest Territories,Wood product manufacturing,0
2006,Nova Scotia,Forestry and logging,0
2006,Nova Scotia,Paper manufacturing,1687
2006,Nova Scotia,Support activities for forestry,376
2006,Nova Scotia,Wood product manufacturing,2582
2006,Nunavut,Forestry and logging,0
2006,Nunavut,Paper manufacturing,0
2006,Nunavut,Support activities for forestry,0
2006,Nunavut,Wood product manufacturing,0
2006,Ontario,Forestry and logging,6048
2006,Ontario,Paper manufacturing,30214
2006,Ontario,Support activities for forestry,1157
2006,Ontario,Wood product manufacturing,26369
2006,Prince Edward Island,Forestry and logging,0
2006,Prince Edward Island,Paper manufacturing,0
2006,Prince Edward Island,Support activities for forestry,32
2006,Prince Edward Island,Wood product manufacturing,0
2006,Quebec,Forestry and logging,13216
2006,Quebec,Paper manufacturing,27962
2006,Quebec,Support activities for forestry,3573
2006,Quebec,Wood product manufacturing,42510
2006,Saskatchewan,Forestry and logging,611
2006,Saskatchewan,Paper manufacturing,0
2006,Saskatchewan,Support activities for forestry,690
2006,Saskatchewan,Wood product manufacturing,1744
2006,Yukon,Forestry and logging,0
2006,Yukon,Paper manufacturing,0
2006,Yukon,Support activities for forestry,0
2006,Yukon,Wood product manufacturing,0
2007,Canada,Forestry and logging,39441
2007,Canada,Paper manufacturing,79380
2007,Canada,Support activities for forestry,13021
2007,Canada,Wood product manufacturing,124189
2007,Alberta,Forestry and logging,2537
2007,Alberta,Paper manufacturing,3553
2007,Alberta,Support activities for forestry,1849
2007,Alberta,Wood product manufacturing,13261
2007,British Columbia,Forestry and logging,14739
2007,British Columbia,Paper manufacturing,11924
2007,British Columbia,Support activities for forestry,4578
2007,British Columbia,Wood product manufacturing,33918
2007,Manitoba,Forestry and logging,0
2007,Manitoba,Paper manufacturing,0
2007,Manitoba,Support activities for forestry,0
2007,Manitoba,Wood product manufacturing,4097
2007,New Brunswick,Forestry and logging,0
2007,New Brunswick,Paper manufacturing,3553
2007,New Brunswick,Support activities for forestry,0
2007,New Brunswick,Wood product manufacturing,5765
2007,Newfoundland and Labrador,Forestry and logging,0
2007,Newfoundland and Labrador,Paper manufacturing,0
2007,Newfoundland and Labrador,Support activities for forestry,0
2007,Newfoundland and Labrador,Wood product manufacturing,0
2007,Northwest Territories,Forestry and logging,0
2007,Northwest Territories,Paper manufacturing,0
2007,Northwest Territories,Support activities for forestry,0
2007,Northwest Territories,Wood product manufacturing,0
2007,Nova Scotia,Forestry and logging,0
