Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2012,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),34559634
2012,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),209426290
2013,Canada,Exports,Primary Wood Products,Logs (cubic metres),6938874
2013,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),183598
2013,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),3657892
2013,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4637668
2013,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9826635
2013,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),469970
2013,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),3892438
2013,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),878791
2013,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),439759
2013,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),38274919
2013,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),222688674
2014,Canada,Exports,Primary Wood Products,Logs (cubic metres),6563589
2014,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),264013
2014,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),3846864
2014,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4610272
2014,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9680200
2014,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),569591
2014,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),4403689
2014,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),874778
2014,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),499342
2014,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),40005621
2014,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),229861606
2015,Canada,Exports,Primary Wood Products,Logs (cubic metres),5937296
2015,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),279210
2015,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),3314038
2015,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4352549
2015,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9922085
2015,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),531726
2015,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),4792022
2015,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),917963
2015,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),556815
2015,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),41352636
2015,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),253960990
2016,Canada,Exports,Primary Wood Products,Logs (cubic metres),6794828
2016,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),392457
2016,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),3106995
2016,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4182241
2016,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9903829
2016,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),535211
2016,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),5438426
2016,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),944975
2016,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),659889
2016,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),45317270
2016,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),224168390
2017,Canada,Exports,Primary Wood Products,Logs (cubic metres),6435125
2017,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),422253
2017,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),2855993
2017,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4414774
2017,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9922618
2017,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),586163
2017,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),5937306
2017,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),889894
2017,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),694314
2017,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),43120555
2017,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),261124754
2018,Canada,Exports,Primary Wood Products,Logs (cubic metres),6423513
2018,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),394613
2018,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),2844961
2018,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4711768
2018,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9749384
2018,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),569229
2018,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),6053107
2018,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),898270
2018,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),728217
2018,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),40895722
2018,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),249305667
2019,Canada,Exports,Primary Wood Products,Logs (cubic metres),6073184
2019,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),368624
2019,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),2413447
2019,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4307908
2019,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9675655
2019,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),591558
2019,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),5697755
2019,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),891014
2019,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),656544
2019,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),38095583
2019,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),225644138
2020,Canada,Exports,Primary Wood Products,Logs (cubic metres),4221479
2020,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),392519
2020,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1987081
2020,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),3997093
2020,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9018360
2020,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),488546
2020,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),5250270
2020,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),759044
2020,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),544955
2020,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),36446211
2020,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),219579472
2021,Canada,Exports,Primary Wood Products,Logs (cubic metres),4756018
2021,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),245786
2021,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1994671
2021,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4301462
2021,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),8703465
2021,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),464508
2021,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),5745883
2021,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),745226
2021,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),635834
2021,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),37104107
2021,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),247976784
2022,Canada,Exports,Primary Wood Products,Logs (cubic metres),4654574
2022,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),296466
2022,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1907487
2022,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4222643
2022,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),8666581
2022,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),436389
2022,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),5805312
2022,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),704376
2022,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),639481
2022,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),33499934
2022,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),235852266
2023,Canada,Exports,Primary Wood Products,Logs (cubic metres),5328154
2023,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),219537
2023,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1830496
2023,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),3575756
2023,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7853357
2023,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),398059
2023,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),5486171
2023,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),620924
2023,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),601596
2023,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),31467129
2023,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),214345256
2024,Canada,Exports,Primary Wood Products,Logs (cubic metres),4730718
2024,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),162146
2024,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1905429
2024,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),3753296
2024,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),8018868
2024,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),414837
2024,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),5581056
2024,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),662466
2024,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),585628
2024,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),31382586
2024,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),213815326
