Year,Jurisdiction,Housing starts (total units)
2023,New Brunswick,4547
2023,Newfoundland and Labrador,978
2023,Nova Scotia,7159
2023,Ontario,89297
2023,Prince Edward Island,1139
2023,Quebec,38912
2023,Saskatchewan,4619
2024,Canada,245367
2024,Alberta,47827
2024,British Columbia,45828
2024,Manitoba,7191
2024,New Brunswick,6169
2024,Newfoundland and Labrador,1672
2024,Nova Scotia,7381
2024,Ontario,74573
2024,Prince Edward Island,1694
2024,Quebec,48713
2024,Saskatchewan,4319
