Year,Jurisdiction,Commodity Group,Exports,Imports,Production,Domestic consumption
2013,Canada,Newsprint (tonnes),3657892,75878,3972000,389986
2013,Canada,Printing and writing paper (tonnes),2818194,848283,3466000,1496089
2013,Canada,Softwood lumber (cubic metres),38274919,1534493,57510100,20769674
2013,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",4332197,1520572,7132294,4320669
2013,Canada,Wood pulp (tonnes),9826635,250579,17254000,7677944
2014,Canada,Hardwood lumber (cubic metres),569591,877886,1504000,1812295
2014,Canada,Newsprint (tonnes),3846864,66317,4014000,233453
2014,Canada,Printing and writing paper (tonnes),2669869,787025,3255000,1372156
2014,Canada,Softwood lumber (cubic metres),40005621,1298082,57776100,19068561
2014,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",4903031,2041571,7687126,4825666
2014,Canada,Wood pulp (tonnes),9680200,290214,16960000,7570014
2015,Canada,Hardwood lumber (cubic metres),531726,1175989,1724400,2368663
2015,Canada,Newsprint (tonnes),3314038,59850,3505000,250812
2015,Canada,Printing and writing paper (tonnes),2447204,752383,3036000,1341179
2015,Canada,Softwood lumber (cubic metres),41352636,1514137,62719400,22880901
2015,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",5348837,4269997,7966764,6887924
2015,Canada,Wood pulp (tonnes),9922085,332685,16551000,6961600
2016,Canada,Hardwood lumber (cubic metres),535211,617747,1600900,1683436
2016,Canada,Newsprint (tonnes),3106995,49708,3342000,284713
2016,Canada,Printing and writing paper (tonnes),2321788,657940,2995000,1331152
2016,Canada,Softwood lumber (cubic metres),45317270,1185417,65031400,20899547
2016,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",6098315,1406482,8728664,4036831
2016,Canada,Wood pulp (tonnes),9903829,445835,16508000,7050006
2017,Canada,Hardwood lumber (cubic metres),586163,665025,1488800,1567662
2017,Canada,Newsprint (tonnes),2855993,34751,3054000,232758
2017,Canada,Printing and writing paper (tonnes),2258961,653722,2975000,1369761
2017,Canada,Softwood lumber (cubic metres),43120555,1027628,65129100,23036173
2017,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",6631620,1851416,8917148,4136944
2017,Canada,Wood pulp (tonnes),9922618,412374,16297000,6786756
2018,Canada,Hardwood lumber (cubic metres),569229,638037,1250900,1319708
2018,Canada,Newsprint (tonnes),2844961,26556,3001000,182595
2018,Canada,Printing and writing paper (tonnes),2394713,634811,3053000,1293098
2018,Canada,Softwood lumber (cubic metres),40895722,1029296,64378500,24512074
2018,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",6781324,1704456,18342230,13265362
2018,Canada,Wood pulp (tonnes),9749384,554015,16183000,6987631
2019,Canada,Hardwood lumber (cubic metres),591558,597672,1032100,1038214
2019,Canada,Newsprint (tonnes),2413447,26813,2678000,291366
2019,Canada,Printing and writing paper (tonnes),2154909,560457,2612000,1017548
2019,Canada,Softwood lumber (cubic metres),38095583,869807,56659300,19433524
2019,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",6354299,1510264,16906920,12062885
2019,Canada,Wood pulp (tonnes),9675655,814666,15421000,6560011
2020,Canada,Hardwood lumber (cubic metres),488546,480717,997200,989371
2020,Canada,Newsprint (tonnes),1987081,27358,1957000,-2723
2020,Canada,Printing and writing paper (tonnes),1846067,410379,2266000,830312
2020,Canada,Softwood lumber (cubic metres),36446211,865702,54718300,19137791
2020,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",5795225,1228632,16602514,12035921
2020,Canada,Wood pulp (tonnes),9018360,637996,14299000,5918636
2021,Canada,Hardwood lumber (cubic metres),464508,625296,880100,1040888
2021,Canada,Newsprint (tonnes),1994671,15546,1888000,-91125
2021,Canada,Printing and writing paper (tonnes),1915457,431717,2434000,950260
2021,Canada,Softwood lumber (cubic metres),37104107,1029906,55841700,19767499
2021,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",6381717,1549582,17876772,13044637
2021,Canada,Wood pulp (tonnes),8703465,1020929,14260000,6577464
2022,Canada,Hardwood lumber (cubic metres),436453,620202,873900,1057649
2022,Canada,Newsprint (tonnes),1907487,2816,1838000,-66671
2022,Canada,Printing and writing paper (tonnes),2008009,524371,2599000,1115362
2022,Canada,Softwood lumber (cubic metres),33514288,850171,50521200,17857083
2022,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",6445015,1334865,17745806,12635656
2022,Canada,Wood pulp (tonnes),8666581,452066,13580000,5365485
2023,Canada,Hardwood lumber (cubic metres),397100,531190,875600,1009690
2023,Canada,Newsprint (tonnes),1829958,2373,1763000,-64585
2023,Canada,Printing and writing paper (tonnes),1535533,302736,2002000,769203
2023,Canada,Softwood lumber (cubic metres),31431281,866985,47537800,16973504
2023,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",6071588,1225371,16846747,12000530
2023,Canada,Wood pulp (tonnes),7854609,868852,12560000,5574243
